url,NUMBER : value,NUMBER : open,NUMBER : high,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/bigcharts.marketwatch.com/COMS.html,5.03,5.08,5.11,"4,348,800",5.22,1.43
finance/bigcharts.marketwatch.com/KDE.html,1.92,1.90,1.96,"7,100",9.59,1.01
finance/bigcharts.marketwatch.com/ABT.html,45.42,44.47,46.00,"10,284,400",60.78,41.27
finance/bigcharts.marketwatch.com/ANF.html,27.58,26.47,27.65,"3,522,100",71.24,13.66
finance/bigcharts.marketwatch.com/ADPT.html,2.63,2.57,2.63,"427,400",4.24,2.20
finance/bigcharts.marketwatch.com/ADBE.html,30.15,30.60,30.6699,"5,478,500",46.44,15.70
finance/bigcharts.marketwatch.com/AMD.html,4.47,4.75,4.79,"39,939,400",7.94,1.62
finance/bigcharts.marketwatch.com/ADVS.html,31.23,30.94,31.50,"144,100",49.32,17.51
finance/bigcharts.marketwatch.com/AES.html,10.69,10.36,10.79,"7,467,700",20.80,4.80
finance/bigcharts.marketwatch.com/AET.html,22.97,23.25,23.70,"6,426,500",45.40,14.2101
finance/bigcharts.marketwatch.com/AFFX.html,6.64,6.70,6.79,"862,100",12.05,1.78
finance/bigcharts.marketwatch.com/AFL.html,32.81,33.54,33.72,"3,767,800",68.00,10.83
finance/bigcharts.marketwatch.com/A.html,19.36,19.67,19.67,"2,627,600",38.00,12.02
finance/bigcharts.marketwatch.com/APD.html,67.99,68.04,68.32,"1,548,500",104.75,41.46
finance/bigcharts.marketwatch.com/AKAM.html,22.86,22.85,22.88,"2,592,400",37.15,9.25
finance/bigcharts.marketwatch.com/ACV.html,24.41,24.23,24.46,"309,900",29.40,19.32
finance/bigcharts.marketwatch.com/AA.html,11.99,12.11,12.14,"35,796,600",40.28,4.97
finance/bigcharts.marketwatch.com/ATI.html,41.88,42.55,42.66,"1,810,600",67.15,15.00
finance/bigcharts.marketwatch.com/AGN.html,46.28,44.37,46.28,"2,338,600",61.72,28.95
finance/bigcharts.marketwatch.com/ALL.html,24.85,24.87,25.01,"3,914,300",50.20,13.77
finance/bigcharts.marketwatch.com/ALTR.html,16.75,17.23,17.25,"11,648,800",24.19,12.99
finance/bigcharts.marketwatch.com/AMZN.html,84.08,85.03,85.20,"6,223,100",91.75,34.68
finance/bigcharts.marketwatch.com/AEP.html,28.00,27.28,28.16,"4,370,700",43.37,24.00
finance/bigcharts.marketwatch.com/AM.html,7.45,7.43,7.50,"248,600",18.57,3.24
finance/bigcharts.marketwatch.com/AIG.html,1.61,1.61,1.62,"32,807,600",34.79,0.33
finance/bigcharts.marketwatch.com/APCC.html,0.01,0.01,0.01,200,1.50,0.01
finance/bigcharts.marketwatch.com/AHC.html,1.17,1.12,1.20,"37,100",8.19,0.5926
finance/bigcharts.marketwatch.com/AEE.html,24.41,24.09,24.61,"1,383,000",43.809,19.51
finance/bigcharts.marketwatch.com/AXP.html,25.16,25.39,25.69,"14,797,400",45.82,9.71
finance/bigcharts.marketwatch.com/AMTD.html,17.54,17.67,17.86,"3,959,100",23.4857,9.34
finance/bigcharts.marketwatch.com/AMGN.html,50.40,49.607,50.70,"6,803,500",66.51,43.34
finance/bigcharts.marketwatch.com/AMR.html,4.55,4.55,4.69,"5,066,800",13.41,2.40
finance/bigcharts.marketwatch.com/ASO.html,18.87,n/a,n/a,n/a,28.40,7.75
finance/bigcharts.marketwatch.com/APC.html,50.57,50.12,50.63,"4,804,500",81.02,24.57
finance/bigcharts.marketwatch.com/ADI.html,25.40,25.77,25.82,"4,751,600",34.59,15.29
finance/bigcharts.marketwatch.com/TWX.html,26.00,26.05,26.13,"6,452,600",51.212121,17.81
finance/bigcharts.marketwatch.com/AOC.html,36.99,36.81,37.07,"2,114,300",50.00,32.83
finance/bigcharts.marketwatch.com/APA.html,84.20,84.33,84.92,"2,649,500",145.00,51.03
finance/bigcharts.marketwatch.com/AAPL.html,136.97,138.81,139.10,"20,110,200",182.34,78.20
finance/bigcharts.marketwatch.com/AMAT.html,11.23,11.19,11.24,"17,011,100",20.90,7.80
finance/bigcharts.marketwatch.com/AMCC.html,7.75,8.14,8.14,"631,600",9.70,3.0101
finance/bigcharts.marketwatch.com/ADM.html,28.71,28.84,28.85,"3,115,100",34.14,13.53
finance/bigcharts.marketwatch.com/ARIA.html,1.86,1.92,1.9292,"385,800",3.55,0.72
finance/bigcharts.marketwatch.com/ARBA.html,10.60,10.48,10.65,"414,500",18.58,6.00
finance/bigcharts.marketwatch.com/ARW.html,22.38,22.95,23.14,"1,296,500",36.00,11.74
finance/bigcharts.marketwatch.com/ASH.html,27.36,27.90,28.02,"1,495,100",54.90,5.35
finance/bigcharts.marketwatch.com/T.html,25.01,24.65,25.05,"27,041,100",36.80,20.90
finance/bigcharts.marketwatch.com/ADSK.html,22.24,22.12,22.33,"2,090,200",39.89,11.70
finance/bigcharts.marketwatch.com/ADP.html,37.29,37.27,37.48,"2,370,200",45.97,30.83
finance/bigcharts.marketwatch.com/AZO.html,155.50,153.55,155.98,"774,100",169.9899,84.66
finance/bigcharts.marketwatch.com/AVY.html,27.94,27.51,28.01,"568,800",50.14,17.02
finance/bigcharts.marketwatch.com/AVA.html,16.45,16.11,16.49,"370,600",23.58,12.67
finance/bigcharts.marketwatch.com/AVP.html,26.61,26.43,26.82,"2,415,900",45.34,14.40
finance/bigcharts.marketwatch.com/BHI.html,41.72,41.75,41.88,"3,882,300",90.48,24.40
finance/bigcharts.marketwatch.com/BLL.html,43.00,42.99,43.13,"1,455,500",53.44,27.37
finance/bigcharts.marketwatch.com/BAC.html,13.72,13.30,13.93,"448,295,800",39.50,2.53
finance/bigcharts.marketwatch.com/BK.html,29.02,28.94,29.02,"6,086,800",43.00,15.44
finance/bigcharts.marketwatch.com/BCR.html,74.05,73.85,74.955,"620,000",101.61,68.94
finance/bigcharts.marketwatch.com/BKS.html,23.32,22.90,23.42,"756,500",33.64,10.77
finance/bigcharts.marketwatch.com/ABX.html,33.99,33.61,34.23,"8,841,200",52.48,17.27
finance/bigcharts.marketwatch.com/BAX.html,49.53,47.76,50.48,"10,086,600",71.53,45.46
finance/bigcharts.marketwatch.com/BBT.html,23.14,22.50,23.19,"6,552,000",45.31,12.90
finance/bigcharts.marketwatch.com/BCE.html,21.59,21.91,21.94,"1,200,800",39.13,16.85
finance/bigcharts.marketwatch.com/BSC.html,8.40,n/a,n/a,n/a,10.33,2.74
finance/bigcharts.marketwatch.com/BDX.html,68.35,67.72,68.87,"1,323,800",89.24,58.14
finance/bigcharts.marketwatch.com/BBBY.html,28.36,27.68,28.41,"5,167,800",34.00,16.2336
finance/bigcharts.marketwatch.com/BMS.html,25.00,25.30,25.39,"590,100",29.70,16.85
finance/bigcharts.marketwatch.com/BBY.html,38.55,37.13,38.69,"7,140,900",47.50,16.42
finance/bigcharts.marketwatch.com/BBH.html,91.68,90.91,92.27,"54,400",205.67,84.55
finance/bigcharts.marketwatch.com/BDK.html,30.95,31.04,31.06,"763,300",69.50,20.10
finance/bigcharts.marketwatch.com/HRB.html,15.69,15.66,15.80,"1,541,000",27.97,13.73
finance/bigcharts.marketwatch.com/BBI.html,0.87,0.9089,0.9089,"1,258,700",3.19,0.13
finance/bigcharts.marketwatch.com/BMC.html,35.39,34.88,35.48,"1,466,800",38.84,20.58
finance/bigcharts.marketwatch.com/BA.html,51.44,50.76,51.56,"5,476,600",77.80,29.05
finance/bigcharts.marketwatch.com/BSX.html,9.37,9.45,9.50,"7,202,200",14.20,5.41
finance/bigcharts.marketwatch.com/BP.html,51.20,50.94,51.24,"4,970,500",70.09,33.70
finance/bigcharts.marketwatch.com/BGG.html,15.88,15.92,16.00,"228,700",21.51,11.13
finance/bigcharts.marketwatch.com/BMY.html,19.81,19.90,20.00,"10,685,400",23.98,16.00
finance/bigcharts.marketwatch.com/BSY.html,29.19,29.12,29.20,"23,000",42.00,19.90
finance/bigcharts.marketwatch.com/BRCM.html,26.30,26.67,26.67,"9,430,000",29.91,12.98
finance/bigcharts.marketwatch.com/BRCD.html,7.80,7.76,7.92,"19,337,200",9.09,2.05
finance/bigcharts.marketwatch.com/BC.html,4.32,4.33,4.37,"449,900",16.64,1.82
finance/bigcharts.marketwatch.com/BNI.html,77.36,75.34,77.70,"2,700,900",110.04,50.86
finance/bigcharts.marketwatch.com/BR.html,17.18,17.16,17.22,"604,500",23.00,9.21
finance/bigcharts.marketwatch.com/CPN.html,11.82,11.79,11.8675,"2,921,800",23.08,4.76
finance/bigcharts.marketwatch.com/CPB.html,29.10,29.00,29.30,"1,863,900",40.85,24.63
finance/bigcharts.marketwatch.com/COF.html,23.94,24.50,24.50,"8,252,900",63.50,7.80
finance/bigcharts.marketwatch.com/CAH.html,30.96,30.86,31.43,"3,244,300",56.45,27.75
finance/bigcharts.marketwatch.com/CCL.html,24.17,24.11,24.20,"5,108,400",42.39,14.85
finance/bigcharts.marketwatch.com/CAT.html,37.73,37.47,37.77,"8,567,700",82.35,21.71
finance/bigcharts.marketwatch.com/CRA.html,7.94,8.19,8.38,"593,500",17.56,5.03
finance/bigcharts.marketwatch.com/CELG.html,43.23,43.64,43.64,"3,608,900",77.39,36.90
finance/bigcharts.marketwatch.com/CTX.html,8.48,8.54,8.55,"3,757,900",18.71,4.91
finance/bigcharts.marketwatch.com/CTL.html,32.06,32.38,32.38,"2,082,000",40.35,20.45
finance/bigcharts.marketwatch.com/CF.html,82.50,82.13,83.71,"1,108,500",172.99,37.71
finance/bigcharts.marketwatch.com/CHKP.html,24.09,23.83,24.17,"2,498,800",25.74,16.80
finance/bigcharts.marketwatch.com/CVX.html,72.67,71.19,72.75,"13,931,600",100.90,55.50
finance/bigcharts.marketwatch.com/CHL.html,52.98,52.67,53.03,"1,614,600",71.70,34.33
finance/bigcharts.marketwatch.com/CHINA.html,1.66,1.64,1.66,"674,400",3.17,0.65
finance/bigcharts.marketwatch.com/CB.html,40.82,41.20,41.24,"1,571,100",69.39,33.47
finance/bigcharts.marketwatch.com/CI.html,20.89,20.63,21.16,"4,075,000",44.14,8.00
finance/bigcharts.marketwatch.com/CINF.html,23.84,23.86,24.15,"709,700",35.00,13.68
finance/bigcharts.marketwatch.com/CSCO.html,19.91,19.93,20.00,"41,372,300",26.695,13.61
finance/bigcharts.marketwatch.com/C.html,3.47,3.47,3.55,"139,079,000",23.50,0.97
finance/bigcharts.marketwatch.com/CTXS.html,34.10,33.24,34.19,"4,170,300",34.41,19.00
finance/bigcharts.marketwatch.com/CCU.html,35.69,33.91,35.99,"81,400",36.16,22.54
finance/bigcharts.marketwatch.com/CLX.html,56.39,54.60,56.49,"3,982,400",65.00,45.67
finance/bigcharts.marketwatch.com/CMS.html,12.30,11.99,12.37,"5,084,900",15.89,8.33
finance/bigcharts.marketwatch.com/COKE.html,56.35,56.72,56.72,"9,400",57.11,31.41
finance/bigcharts.marketwatch.com/KO.html,48.89,48.68,49.04,"8,620,300",57.10,37.44
finance/bigcharts.marketwatch.com/CCE.html,17.18,17.32,17.40,"2,736,200",19.60,7.25
finance/bigcharts.marketwatch.com/CL.html,71.38,69.96,72.00,"3,068,600",80.49,54.36
finance/bigcharts.marketwatch.com/CMCSK.html,13.73,13.69,13.75,"4,576,800",22.37,10.33
finance/bigcharts.marketwatch.com/CMA.html,22.63,22.84,23.15,"1,960,800",54.00,11.72
finance/bigcharts.marketwatch.com/CA.html,17.73,17.69,17.99,"3,595,600",24.67,12.00
finance/bigcharts.marketwatch.com/CSC.html,44.99,45.06,45.12,"1,133,800",49.37,23.93
finance/bigcharts.marketwatch.com/CPWR.html,7.43,7.44,7.66,"2,904,100",11.91,5.08
finance/bigcharts.marketwatch.com/CMVT.html,7.60,7.50,7.70,"165,015",18.94,4.98
finance/bigcharts.marketwatch.com/CAG.html,19.46,19.52,19.69,"4,408,300",23.12,13.52
finance/bigcharts.marketwatch.com/ED.html,37.08,36.49,37.15,"1,755,200",46.39,32.56
finance/bigcharts.marketwatch.com/CEG.html,27.23,26.90,27.47,"3,096,000",86.72,13.00
finance/bigcharts.marketwatch.com/CAL.html,9.09,9.25,9.46,"4,564,500",21.83,5.91
finance/bigcharts.marketwatch.com/CVG.html,9.28,9.40,9.40,"555,600",16.99,4.02
finance/bigcharts.marketwatch.com/CBE.html,34.13,34.24,34.26,"2,088,200",49.64,18.86
finance/bigcharts.marketwatch.com/CTB.html,9.22,9.88,9.88,"1,237,600",12.15,2.96
finance/bigcharts.marketwatch.com/GLW.html,15.89,15.82,15.90,"10,949,100",27.56,7.36
finance/bigcharts.marketwatch.com/COST.html,47.03,46.35,47.10,"4,735,600",74.89,38.1701
finance/bigcharts.marketwatch.com/CR.html,24.06,24.59,24.59,"365,500",42.79,10.87
finance/bigcharts.marketwatch.com/CREE.html,28.74,29.31,29.36,"1,424,600",31.75,12.57
finance/bigcharts.marketwatch.com/CCK.html,23.25,23.61,23.62,"1,741,700",29.60,13.37
finance/bigcharts.marketwatch.com/CSX.html,36.52,35.13,36.5726,"8,478,100",69.50,20.70
finance/bigcharts.marketwatch.com/CRGN.html,1.38,1.37,1.39,"545,900",1.48,0.41
finance/bigcharts.marketwatch.com/CVS.html,30.35,30.08,30.36,"7,274,400",42.78,23.19
finance/bigcharts.marketwatch.com/DCX.html,7.54,n/a,n/a,n/a,10.71,5.43
finance/bigcharts.marketwatch.com/DHR.html,62.77,63.03,63.03,"1,456,600",85.00,47.20
finance/bigcharts.marketwatch.com/DRI.html,33.80,32.84,33.83,"2,025,000",41.21,13.21
finance/bigcharts.marketwatch.com/DE.html,44.77,44.68,44.78,"3,587,300",81.22,24.51
finance/bigcharts.marketwatch.com/DELL.html,13.39,13.22,13.40,"25,270,300",26.04,7.84
finance/bigcharts.marketwatch.com/DAL.html,6.40,6.68,6.74,"11,727,500",12.65,3.51
finance/bigcharts.marketwatch.com/DEL.html,38.57,37.60,38.85,"40,800",75.08,26.9375
finance/bigcharts.marketwatch.com/DLX.html,14.71,14.99,14.99,"222,800",21.13,6.20
finance/bigcharts.marketwatch.com/DIA.html,88.31,87.60,88.33,"12,743,800",123.43,64.78
finance/bigcharts.marketwatch.com/DDS.html,10.04,9.59,10.08,"755,500",15.37,2.50
finance/bigcharts.marketwatch.com/DIS.html,25.06,25.03,25.39,"7,332,300",34.85,15.14
finance/bigcharts.marketwatch.com/DLTR.html,43.29,43.36,43.70,"1,171,700",46.735,27.6111
finance/bigcharts.marketwatch.com/D.html,33.39,32.88,33.52,"3,535,500",48.50,27.149
finance/bigcharts.marketwatch.com/DOV.html,36.16,35.86,36.16,"1,419,800",52.43,21.79
finance/bigcharts.marketwatch.com/DOW.html,17.34,17.32,17.50,"9,925,400",39.99,5.89
finance/bigcharts.marketwatch.com/DTE.html,31.96,31.30,32.10,"908,400",44.97,23.32
finance/bigcharts.marketwatch.com/DUK.html,14.67,14.41,14.76,"14,473,300",19.10,11.72
finance/bigcharts.marketwatch.com/DNB.html,83.55,83.46,83.70,"229,900",98.90,64.00
finance/bigcharts.marketwatch.com/DD.html,27.00,27.04,27.24,"7,121,200",48.22,16.05
finance/bigcharts.marketwatch.com/ELNK.html,7.77,7.88,7.90,"726,400",10.16,5.52
finance/bigcharts.marketwatch.com/EMN.html,40.65,41.31,41.31,"742,700",75.81,17.76
finance/bigcharts.marketwatch.com/EK.html,2.95,2.85,2.96,"2,773,100",17.71,2.01
finance/bigcharts.marketwatch.com/ETN.html,49.18,48.50,49.22,"1,024,800",97.93,30.02
finance/bigcharts.marketwatch.com/EBAY.html,17.80,17.94,17.95,"10,883,900",29.33,9.91
finance/bigcharts.marketwatch.com/ELON.html,8.06,7.77,8.0895,"159,000",15.74,4.92
finance/bigcharts.marketwatch.com/DISH.html,15.33,15.50,15.71,"3,887,200",34.10,8.34
finance/bigcharts.marketwatch.com/ECL.html,38.69,38.21,38.80,"1,602,200",52.16,29.27
finance/bigcharts.marketwatch.com/EIX.html,32.49,31.72,32.52,"3,656,800",53.00,23.09
finance/bigcharts.marketwatch.com/ERTS.html,21.93,21.80,22.035,"5,139,100",50.17,14.24
finance/bigcharts.marketwatch.com/EMC.html,13.26,13.01,13.28,"21,410,100",16.67,8.25
finance/bigcharts.marketwatch.com/EMR.html,35.07,34.80,35.08,"3,594,200",56.41,24.39
finance/bigcharts.marketwatch.com/EC.html,24.77,24.42,25.00,"19,300",27.85,13.90
finance/bigcharts.marketwatch.com/ETR.html,78.24,75.82,78.667,"1,600,900",123.14,59.87
finance/bigcharts.marketwatch.com/ENZ.html,5.49,5.41,5.49,"81,900",14.90,2.70
finance/bigcharts.marketwatch.com/EFX.html,27.29,27.07,27.29,"1,170,300",37.29,19.38
finance/bigcharts.marketwatch.com/XOM.html,73.78,73.43,74.16,"21,698,400",89.63,56.51
finance/bigcharts.marketwatch.com/FRE.html,0.70,0.701,0.71,"4,773,000",24.23,0.25
finance/bigcharts.marketwatch.com/FNM.html,0.66,0.662,0.67,"10,702,300",25.99,0.30
finance/bigcharts.marketwatch.com/FDX.html,54.39,55.75,56.22,"3,844,300",96.99,34.02
finance/bigcharts.marketwatch.com/FITB.html,8.03,7.75,8.03,"22,625,400",21.00,1.01
finance/bigcharts.marketwatch.com/FE.html,40.48,39.01,40.60,"4,120,700",84.00,35.26
finance/bigcharts.marketwatch.com/FLEX.html,4.40,4.58,4.60,"4,894,800",10.99,1.23
finance/bigcharts.marketwatch.com/FLR.html,53.85,53.22,53.85,"2,637,300",101.36,28.60
finance/bigcharts.marketwatch.com/FMC.html,52.45,52.59,52.81,"841,500",80.23,28.53
finance/bigcharts.marketwatch.com/F.html,6.11,6.01,6.15,"54,584,200",6.75,1.01
finance/bigcharts.marketwatch.com/FO.html,37.03,36.89,37.13,"857,800",66.72,17.675
finance/bigcharts.marketwatch.com/FOSL.html,23.12,23.50,23.64,"478,700",33.36,11.00
finance/bigcharts.marketwatch.com/FPL.html,57.39,56.33,57.90,"1,827,100",68.76,33.81
finance/bigcharts.marketwatch.com/BEN.html,75.99,76.60,76.89,"1,060,500",133.37,37.11
finance/bigcharts.marketwatch.com/FCX.html,58.51,59.40,60.27,"17,173,600",126.64,15.70
finance/bigcharts.marketwatch.com/FCEL.html,4.59,4.63,4.77,"659,600",8.83,1.98
finance/bigcharts.marketwatch.com/GCI.html,4.22,4.25,4.27,"2,597,400",26.10,1.85
finance/bigcharts.marketwatch.com/GPS.html,16.37,16.52,16.61,"8,544,100",20.80,9.41
finance/bigcharts.marketwatch.com/GM.html,1.17,1.22,1.23,"68,931,535",16.76,0.27
finance/bigcharts.marketwatch.com/GD.html,59.76,59.17,60.03,"1,535,800",94.41,35.28
finance/bigcharts.marketwatch.com/GE.html,13.51,13.45,13.52,"57,438,400",30.39,5.7279
finance/bigcharts.marketwatch.com/GIS.html,54.92,54.63,55.11,"1,818,300",72.01,46.37
finance/bigcharts.marketwatch.com/OSCI.html,0.27,0.251,0.315,"32,202,400",1.80,0.061
finance/bigcharts.marketwatch.com/GPC.html,33.79,33.75,33.97,"717,800",44.20,24.93
finance/bigcharts.marketwatch.com/G.html,11.26,11.15,11.26,"193,100",15.70,6.30
finance/bigcharts.marketwatch.com/GR.html,53.36,51.72,53.36,"1,440,300",55.34,25.11
finance/bigcharts.marketwatch.com/GT.html,12.41,12.97,13.05,"5,454,300",23.14,3.17
finance/bigcharts.marketwatch.com/GOOG.html,424.84,426.86,427.70,"2,918,400",579.10,247.30
finance/bigcharts.marketwatch.com/GRA.html,13.48,13.58,13.70,"230,200",28.094,2.95
finance/bigcharts.marketwatch.com/GWW.html,83.81,83.84,83.96,"836,300",93.99,58.86
finance/bigcharts.marketwatch.com/GAP.html,4.98,4.79,5.00,"586,800",25.39,3.01
finance/bigcharts.marketwatch.com/GES.html,26.56,26.23,26.67,"2,319,600",43.126,10.26
finance/bigcharts.marketwatch.com/HAL.html,23.99,23.75,24.13,"15,072,400",55.38,12.80
finance/bigcharts.marketwatch.com/HIG.html,12.95,13.50,13.60,"20,403,400",73.89,3.33
finance/bigcharts.marketwatch.com/HAS.html,25.09,25.49,25.65,"3,273,200",41.68,21.14
finance/bigcharts.marketwatch.com/HLTH.html,11.92,11.68,12.01,"556,500",12.70,6.80
finance/bigcharts.marketwatch.com/HNZ.html,36.32,36.12,36.46,"2,037,000",53.00,30.51
finance/bigcharts.marketwatch.com/HP.html,34.92,35.11,35.13,"1,424,800",77.24,17.01
finance/bigcharts.marketwatch.com/HSY.html,35.39,35.01,35.45,"581,000",44.32,30.27
finance/bigcharts.marketwatch.com/HD.html,24.15,24.19,24.24,"18,284,000",30.74,17.05
finance/bigcharts.marketwatch.com/HMC.html,28.86,28.82,28.89,"656,500",36.29,17.35
finance/bigcharts.marketwatch.com/HON.html,35.41,35.60,35.67,"4,422,500",56.88,23.06
finance/bigcharts.marketwatch.com/HOTT.html,7.14,7.27,7.30,"1,741,200",13.87,4.61
finance/bigcharts.marketwatch.com/HGSI.html,2.89,2.89,3.00,"9,788,300",8.00,0.45
finance/bigcharts.marketwatch.com/HUM.html,29.41,28.90,29.63,"1,926,100",51.39,18.57
finance/bigcharts.marketwatch.com/HBAN.html,4.15,4.11,4.26,"24,840,700",13.50,1.00
finance/bigcharts.marketwatch.com/ITW.html,38.08,37.73,38.1903,"3,334,500",51.00,25.60
finance/bigcharts.marketwatch.com/RX.html,13.29,12.45,13.35,"3,759,500",23.93,9.625
finance/bigcharts.marketwatch.com/N.html,11.84,11.25,11.91,"167,800",22.25,5.43
finance/bigcharts.marketwatch.com/INCY.html,3.33,3.35,3.44,"1,079,200",10.42,1.85
finance/bigcharts.marketwatch.com/INSP.html,7.21,7.10,7.28,"99,400",11.94,5.07
finance/bigcharts.marketwatch.com/INFY.html,37.12,36.55,37.13,"1,814,700",47.41,21.10
finance/bigcharts.marketwatch.com/IR.html,23.06,22.74,23.06,"4,848,600",41.14,11.46
finance/bigcharts.marketwatch.com/INTC.html,16.31,16.24,16.31,"47,625,600",24.75,12.05
finance/bigcharts.marketwatch.com/ICGE.html,6.07,6.01,6.13,"145,700",9.84,3.04
finance/bigcharts.marketwatch.com/IPG.html,6.00,5.92,6.00,"2,966,200",9.69,2.57
finance/bigcharts.marketwatch.com/ISIL.html,13.02,13.25,13.25,"2,250,100",27.34,7.18
finance/bigcharts.marketwatch.com/IBM.html,108.21,108.40,109.28,"7,250,900",130.93,69.50
finance/bigcharts.marketwatch.com/IFF.html,32.96,33.00,33.15,"625,300",45.21,24.72
finance/bigcharts.marketwatch.com/IP.html,15.81,15.41,15.85,"5,700,000",31.07,3.93
finance/bigcharts.marketwatch.com/INTU.html,28.64,28.34,28.64,"2,289,900",32.00,20.183
