url,NUMBER : value,NUMBER : var $,NUMBER : var %,NUMBER : open,NUMBER : high,NUMBER : low,NUMBER : 52wk high,NUMBER : 52wk low
finance/moneycentral.msn.com/COMS.html,5.03,-0.05,-0.98%,5.08,5.11,4.83,5.22,1.43
finance/moneycentral.msn.com/KDE.html,1.92,-0.04,-2.04%,1.90,1.96,1.90,9.59,1.01
finance/moneycentral.msn.com/ABT.html,45.42,+0.86,+1.93%,44.47,46.00,44.47,60.78,41.27
finance/moneycentral.msn.com/ANF.html,27.58,+0.98,+3.68%,26.47,27.65,26.07,71.24,13.66
finance/moneycentral.msn.com/ADPT.html,2.63,+0.10,+3.95%,2.57,2.63,2.52,4.24,2.20
finance/moneycentral.msn.com/ADBE.html,30.15,-0.25,-0.82%,30.60,30.67,29.61,46.44,15.70
finance/moneycentral.msn.com/AMD.html,4.47,-0.23,-4.89%,4.75,4.79,4.33,7.94,1.62
finance/moneycentral.msn.com/ADVS.html,31.23,+0.21,+0.68%,30.94,31.50,30.62,49.32,17.51
finance/moneycentral.msn.com/AES.html,10.69,+0.27,+2.59%,10.36,10.79,10.21,20.80,4.80
finance/moneycentral.msn.com/AET.html,22.97,-0.33,-1.42%,23.25,23.70,22.47,45.40,14.21
finance/moneycentral.msn.com/AFFX.html,6.64,-0.18,-2.64%,6.70,6.79,6.35,12.05,1.78
finance/moneycentral.msn.com/AFL.html,32.81,-1.00,-2.96%,33.54,33.72,32.51,68.00,10.83
finance/moneycentral.msn.com/A.html,19.36,-0.36,-1.83%,19.67,19.67,18.94,38.00,12.02
finance/moneycentral.msn.com/APD.html,67.99,-0.63,-0.92%,68.04,68.32,67.12,104.75,41.46
finance/moneycentral.msn.com/AKAM.html,22.86,-0.03,-0.13%,22.85,22.88,22.34,37.15,9.25
finance/moneycentral.msn.com/ACV.html,24.41,+0.06,+0.25%,24.23,24.46,24.09,29.40,19.32
finance/moneycentral.msn.com/AA.html,11.99,-0.23,-1.88%,12.11,12.14,11.80,40.28,4.97
finance/moneycentral.msn.com/ATI.html,41.88,-1.38,-3.19%,42.55,42.66,41.36,67.15,15.00
finance/moneycentral.msn.com/AGN.html,46.28,+1.79,+4.02%,44.37,46.28,44.30,61.72,28.95
finance/moneycentral.msn.com/ALL.html,24.85,-0.02,-0.08%,24.87,25.01,24.60,50.20,13.77
finance/moneycentral.msn.com/ALTR.html,16.75,-0.63,-3.62%,17.23,17.25,16.55,24.19,12.99
finance/moneycentral.msn.com/AMZN.html,84.08,-1.61,-1.88%,85.03,85.20,82.01,91.75,34.68
finance/moneycentral.msn.com/AEP.html,28.00,+0.55,+2.00%,27.28,28.16,27.03,43.37,24.00
finance/moneycentral.msn.com/AM.html,7.45,-0.02,-0.27%,7.43,7.50,7.08,18.57,3.24
finance/moneycentral.msn.com/AIG.html,1.61,unch,,1.61,1.62,1.55,34.79,0.33
finance/moneycentral.msn.com/APCC.html,0.01,unch,,NA,NA,NA,1.50,0.01
finance/moneycentral.msn.com/AHC.html,1.17,+0.03,+2.63%,1.12,1.20,1.10,8.19,0.59
finance/moneycentral.msn.com/AEE.html,24.41,+0.19,+0.78%,24.09,24.61,23.89,43.81,19.51
finance/moneycentral.msn.com/AXP.html,25.16,-0.47,-1.83%,25.39,25.69,24.83,45.82,9.71
finance/moneycentral.msn.com/AMTD.html,17.54,-0.42,-2.34%,17.67,17.86,17.32,23.49,9.34
finance/moneycentral.msn.com/AMGN.html,50.40,+0.52,+1.04%,49.61,50.70,49.34,66.51,43.34
finance/moneycentral.msn.com/AMR.html,4.55,-0.04,-0.87%,4.55,4.69,4.50,13.41,2.40
finance/moneycentral.msn.com/APC.html,50.57,-0.30,-0.59%,50.12,50.63,49.38,81.02,24.57
finance/moneycentral.msn.com/ADI.html,25.40,-0.34,-1.32%,25.77,25.82,25.20,34.59,15.29
finance/moneycentral.msn.com/TWX.html,26.00,-0.17,-0.65%,26.05,26.13,25.53,50.70,17.81
finance/moneycentral.msn.com/AOC.html,36.99,+0.13,+0.35%,36.81,37.07,36.41,50.00,32.83
finance/moneycentral.msn.com/APA.html,84.20,-1.14,-1.34%,84.33,84.92,83.43,145.00,51.03
finance/moneycentral.msn.com/AAPL.html,136.97,-2.98,-2.13%,138.81,139.10,136.04,182.34,78.20
finance/moneycentral.msn.com/AMAT.html,11.23,+0.08,+0.72%,11.19,11.24,10.97,20.90,7.80
finance/moneycentral.msn.com/AMCC.html,7.75,-0.39,-4.79%,8.14,8.14,7.65,9.70,3.01
finance/moneycentral.msn.com/ADM.html,28.71,-0.26,-0.90%,28.84,28.85,28.44,34.14,13.53
finance/moneycentral.msn.com/ARIA.html,1.86,-0.02,-1.06%,1.92,1.93,1.84,3.55,0.72
finance/moneycentral.msn.com/ARBA.html,10.60,+0.08,+0.76%,10.48,10.65,10.44,18.58,6.00
finance/moneycentral.msn.com/ARW.html,22.38,-0.98,-4.20%,22.95,23.14,21.94,36.00,11.74
finance/moneycentral.msn.com/ASH.html,27.36,-0.79,-2.81%,27.90,28.02,26.68,54.90,5.35
finance/moneycentral.msn.com/T.html,25.01,+0.22,+0.89%,24.65,25.05,24.59,36.80,20.90
finance/moneycentral.msn.com/AWE.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/ADSK.html,22.24,-0.16,-0.71%,22.12,22.33,21.82,39.89,11.70
finance/moneycentral.msn.com/ADP.html,37.29,-0.12,-0.32%,37.27,37.48,36.60,45.97,30.83
finance/moneycentral.msn.com/AZO.html,155.50,+1.45,+0.94%,153.55,155.98,151.59,169.99,84.66
finance/moneycentral.msn.com/AVY.html,27.94,unch,,27.51,28.01,27.36,55.00,17.02
finance/moneycentral.msn.com/AVA.html,16.45,+0.35,+2.17%,16.11,16.49,15.92,23.58,12.67
finance/moneycentral.msn.com/AVP.html,26.61,-0.17,-0.63%,26.43,26.82,26.34,45.34,14.40
finance/moneycentral.msn.com/BHI.html,41.72,-0.61,-1.44%,41.75,41.88,41.17,90.48,24.40
finance/moneycentral.msn.com/BLL.html,43.00,-0.80,-1.83%,42.99,43.13,42.00,53.44,27.37
finance/moneycentral.msn.com/BAC.html,13.72,+0.75,+5.78%,13.30,13.93,13.23,39.50,2.53
finance/moneycentral.msn.com/BK.html,29.02,+0.06,+0.21%,28.94,29.02,28.48,43.00,15.44
finance/moneycentral.msn.com/BCR.html,74.05,+0.06,+0.08%,73.85,74.96,73.25,101.61,68.94
finance/moneycentral.msn.com/BKS.html,23.32,+0.32,+1.39%,22.90,23.42,22.53,33.64,10.77
finance/moneycentral.msn.com/ABX.html,33.99,-0.67,-1.93%,33.61,34.23,33.35,52.48,17.27
finance/moneycentral.msn.com/BAX.html,49.53,+1.66,+3.47%,47.76,50.48,47.08,71.53,45.46
finance/moneycentral.msn.com/BBT.html,23.14,+0.58,+2.57%,22.50,23.19,22.45,45.31,12.90
finance/moneycentral.msn.com/BCE.html,21.59,-0.56,-2.53%,21.91,21.94,21.49,39.13,16.85
finance/moneycentral.msn.com/BDX.html,68.35,+0.07,+0.10%,67.72,68.87,67.72,89.24,58.14
finance/moneycentral.msn.com/BBBY.html,28.36,+0.43,+1.54%,27.68,28.41,27.23,34.00,16.23
finance/moneycentral.msn.com/BLS.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/BMS.html,25.00,-0.44,-1.73%,25.30,25.39,24.82,29.70,16.85
finance/moneycentral.msn.com/BBY.html,38.55,+1.32,+3.55%,37.13,38.69,36.90,48.99,16.42
finance/moneycentral.msn.com/BDK.html,30.95,-0.14,-0.45%,31.04,31.06,30.23,69.50,20.10
finance/moneycentral.msn.com/HRB.html,15.69,-0.02,-0.13%,15.66,15.80,15.35,27.97,13.73
finance/moneycentral.msn.com/BBI.html,0.87,-0.01,-1.14%,0.91,0.91,0.86,3.19,0.13
finance/moneycentral.msn.com/BMC.html,35.39,+0.34,+0.97%,34.88,35.48,34.71,38.84,20.58
finance/moneycentral.msn.com/BA.html,51.44,+0.78,+1.54%,50.76,51.56,50.11,77.80,29.05
finance/moneycentral.msn.com/BCC.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/BSX.html,9.37,+0.02,+0.21%,9.45,9.50,9.17,14.20,5.41
finance/moneycentral.msn.com/BP.html,51.20,-1.01,-1.93%,50.94,51.24,50.58,70.09,33.70
finance/moneycentral.msn.com/BGG.html,15.88,-0.19,-1.18%,15.92,16.00,15.59,21.51,11.13
finance/moneycentral.msn.com/BMY.html,19.81,-0.19,-0.95%,19.90,20.00,19.67,23.98,16.00
finance/moneycentral.msn.com/BSY.html,29.19,-0.46,-1.55%,29.12,29.20,28.85,42.00,19.90
finance/moneycentral.msn.com/BRCM.html,26.30,-0.62,-2.30%,26.67,26.67,25.66,29.91,12.98
finance/moneycentral.msn.com/BRCD.html,7.80,+0.13,+1.69%,7.76,7.92,7.59,9.09,2.05
finance/moneycentral.msn.com/BC.html,4.32,+0.02,+0.47%,4.33,4.37,4.19,16.64,1.82
finance/moneycentral.msn.com/BNI.html,77.36,+2.18,+2.90%,75.34,77.70,75.13,110.04,50.86
finance/moneycentral.msn.com/BR.html,17.18,-0.09,-0.52%,17.16,17.22,16.93,23.00,9.21
finance/moneycentral.msn.com/CPN.html,11.82,+0.09,+0.77%,11.79,11.87,11.35,23.08,4.76
finance/moneycentral.msn.com/CPB.html,29.10,+0.05,+0.17%,29.00,29.30,28.80,40.85,24.63
finance/moneycentral.msn.com/COF.html,23.94,-0.65,-2.64%,24.50,24.50,23.72,63.50,7.80
finance/moneycentral.msn.com/CAH.html,30.96,+0.12,+0.39%,30.86,31.43,30.67,56.45,27.75
finance/moneycentral.msn.com/CCL.html,24.17,+0.44,+1.85%,24.11,24.20,23.58,42.39,14.85
finance/moneycentral.msn.com/CAT.html,37.73,+0.12,+0.32%,37.47,37.77,37.02,82.35,21.71
finance/moneycentral.msn.com/CRA.html,7.94,-0.29,-3.52%,8.19,8.38,7.81,17.56,5.03
finance/moneycentral.msn.com/CELG.html,43.23,-0.09,-0.21%,43.64,43.64,42.68,77.39,36.90
finance/moneycentral.msn.com/CTX.html,8.48,-0.04,-0.47%,8.54,8.55,8.26,18.71,4.91
finance/moneycentral.msn.com/CTL.html,32.06,-0.45,-1.38%,32.38,32.38,31.40,40.35,20.45
finance/moneycentral.msn.com/CF.html,82.50,-0.34,-0.41%,82.13,83.71,80.98,172.99,37.71
finance/moneycentral.msn.com/CHKP.html,24.09,+0.25,+1.05%,23.83,24.17,23.69,25.74,16.80
finance/moneycentral.msn.com/CVX.html,72.67,+0.77,+1.07%,71.19,72.75,70.69,100.90,55.50
finance/moneycentral.msn.com/CHL.html,52.98,-1.06,-1.96%,52.67,53.03,52.26,71.70,34.33
finance/moneycentral.msn.com/CHINA.html,1.66,+0.05,+3.11%,1.64,1.66,1.57,3.17,0.65
finance/moneycentral.msn.com/CHIR.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/CB.html,40.82,-0.42,-1.02%,41.20,41.24,40.56,69.39,33.47
finance/moneycentral.msn.com/CI.html,20.89,-0.01,-0.05%,20.63,21.16,20.21,44.14,8.00
finance/moneycentral.msn.com/CINF.html,23.84,-0.16,-0.67%,23.86,24.15,23.70,35.00,13.68
finance/moneycentral.msn.com/CSCO.html,19.91,-0.19,-0.95%,19.93,20.00,19.63,26.70,13.61
finance/moneycentral.msn.com/C.html,3.47,-0.01,-0.29%,3.47,3.55,3.44,23.50,0.97
finance/moneycentral.msn.com/CTXS.html,34.10,+0.71,+2.13%,33.24,34.19,32.80,34.41,19.00
finance/moneycentral.msn.com/CCU.html,35.69,+1.48,+4.33%,33.91,35.99,33.85,36.16,22.54
finance/moneycentral.msn.com/CLX.html,56.39,+2.74,+5.11%,54.60,56.49,54.36,65.00,45.67
finance/moneycentral.msn.com/CMS.html,12.30,+0.25,+2.07%,11.99,12.37,11.90,15.89,8.33
finance/moneycentral.msn.com/CNET.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/COKE.html,56.35,-0.30,-0.53%,56.72,56.72,55.67,57.11,31.41
finance/moneycentral.msn.com/KO.html,48.89,+0.31,+0.64%,48.68,49.04,48.48,57.10,37.44
finance/moneycentral.msn.com/CCE.html,17.18,-0.27,-1.55%,17.32,17.40,17.07,19.60,7.25
finance/moneycentral.msn.com/CL.html,71.38,+1.12,+1.59%,69.96,72.00,69.79,80.49,54.36
finance/moneycentral.msn.com/CMCSK.html,13.73,-0.15,-1.08%,13.69,13.75,13.39,22.37,10.33
finance/moneycentral.msn.com/CMA.html,22.63,-0.18,-0.79%,22.84,23.15,22.38,54.00,11.72
finance/moneycentral.msn.com/CA.html,17.73,-0.11,-0.62%,17.69,17.99,17.46,24.67,12.00
finance/moneycentral.msn.com/CSC.html,44.99,+0.35,+0.78%,45.06,45.12,44.10,49.37,23.93
finance/moneycentral.msn.com/CPWR.html,7.43,-0.08,-1.07%,7.44,7.66,7.31,11.91,5.08
finance/moneycentral.msn.com/CMVT.html,7.60,+0.05,+0.66%,7.50,7.70,7.50,18.73,4.98
finance/moneycentral.msn.com/CAG.html,19.46,-0.16,-0.82%,19.52,19.69,19.34,23.12,13.52
finance/moneycentral.msn.com/ED.html,37.08,+0.40,+1.09%,36.49,37.15,36.13,46.39,32.56
finance/moneycentral.msn.com/CEG.html,27.23,+0.27,+1.00%,26.90,27.47,26.70,86.72,13.00
finance/moneycentral.msn.com/CAL.html,9.09,-0.16,-1.73%,9.25,9.46,9.05,21.83,5.91
finance/moneycentral.msn.com/CVG.html,9.28,-0.13,-1.38%,9.40,9.40,9.15,16.99,4.02
finance/moneycentral.msn.com/CBE.html,34.13,-0.29,-0.84%,34.24,34.26,33.67,49.64,18.86
finance/moneycentral.msn.com/CTB.html,9.22,-0.74,-7.43%,9.88,9.88,8.95,12.15,2.96
finance/moneycentral.msn.com/GLW.html,15.89,-0.07,-0.44%,15.82,15.90,15.41,27.56,7.36
finance/moneycentral.msn.com/COST.html,47.03,+0.76,+1.64%,46.35,47.10,45.96,74.89,38.17
finance/moneycentral.msn.com/CR.html,24.06,-0.61,-2.47%,24.59,24.59,23.82,42.79,10.87
finance/moneycentral.msn.com/CREE.html,28.74,-0.62,-2.11%,29.31,29.36,28.30,31.75,12.57
finance/moneycentral.msn.com/CCK.html,23.25,-0.42,-1.77%,23.61,23.62,23.01,29.60,13.37
finance/moneycentral.msn.com/CSX.html,36.52,+1.66,+4.76%,35.13,36.57,34.77,69.50,20.70
finance/moneycentral.msn.com/CRGN.html,1.38,-0.01,-0.72%,1.37,1.39,1.35,1.48,0.41
finance/moneycentral.msn.com/CVS.html,30.35,+0.08,+0.26%,30.08,30.36,29.90,42.78,23.19
finance/moneycentral.msn.com/DHR.html,62.77,-0.47,-0.74%,63.03,63.03,62.00,85.00,47.20
finance/moneycentral.msn.com/DRI.html,33.80,+0.83,+2.52%,32.84,33.83,32.67,41.21,13.21
finance/moneycentral.msn.com/DE.html,44.77,-0.31,-0.69%,44.68,44.78,43.70,81.22,24.51
finance/moneycentral.msn.com/DELL.html,13.39,+0.12,+0.90%,13.22,13.40,13.05,26.04,7.84
finance/moneycentral.msn.com/DAL.html,6.40,-0.28,-4.19%,6.68,6.74,6.37,12.65,3.51
finance/moneycentral.msn.com/DEL.html,38.57,+0.77,+2.04%,37.60,38.85,37.09,75.08,26.94
finance/moneycentral.msn.com/DLX.html,14.71,-0.41,-2.71%,14.99,14.99,14.26,21.13,6.20
finance/moneycentral.msn.com/DDS.html,10.04,+0.37,+3.83%,9.59,10.08,9.46,15.37,2.50
finance/moneycentral.msn.com/DIS.html,25.06,-0.17,-0.67%,25.03,25.39,24.52,34.85,15.14
finance/moneycentral.msn.com/DLTR.html,43.29,-0.17,-0.39%,43.36,43.70,42.56,46.74,27.61
finance/moneycentral.msn.com/D.html,33.39,+0.44,+1.34%,32.88,33.52,32.44,48.50,27.15
finance/moneycentral.msn.com/DOV.html,36.16,-0.04,-0.11%,35.86,36.16,35.35,52.43,21.79
finance/moneycentral.msn.com/DOW.html,17.34,-0.09,-0.52%,17.32,17.50,17.05,39.99,5.89
finance/moneycentral.msn.com/DTE.html,31.96,+0.43,+1.36%,31.30,32.10,31.15,44.97,23.32
finance/moneycentral.msn.com/DUK.html,14.67,+0.23,+1.59%,14.41,14.76,14.25,19.10,11.72
finance/moneycentral.msn.com/DNB.html,83.55,-0.31,-0.37%,83.46,83.70,82.55,98.90,64.00
finance/moneycentral.msn.com/DD.html,27.00,-0.11,-0.41%,27.04,27.24,26.61,48.22,16.05
finance/moneycentral.msn.com/ELNK.html,7.77,-0.10,-1.27%,7.88,7.90,7.65,10.16,5.52
finance/moneycentral.msn.com/EMN.html,40.65,-0.93,-2.24%,41.31,41.31,40.13,75.81,17.76
finance/moneycentral.msn.com/EK.html,2.95,+0.07,+2.43%,2.85,2.96,2.78,17.71,2.01
finance/moneycentral.msn.com/ETN.html,49.18,+0.45,+0.92%,48.50,49.22,48.04,97.93,30.02
finance/moneycentral.msn.com/EBAY.html,17.80,-0.08,-0.45%,17.94,17.95,17.45,29.33,9.91
finance/moneycentral.msn.com/ELON.html,8.06,+0.22,+2.81%,7.77,8.09,7.66,15.74,4.92
finance/moneycentral.msn.com/DISH.html,15.33,-0.22,-1.41%,15.50,15.71,14.99,34.10,8.34
finance/moneycentral.msn.com/ECL.html,38.69,+0.41,+1.07%,38.21,38.80,37.94,52.16,29.27
finance/moneycentral.msn.com/EIX.html,32.49,+0.68,+2.14%,31.72,32.52,31.23,53.00,23.09
finance/moneycentral.msn.com/ERTS.html,21.93,+0.06,+0.27%,21.80,22.04,21.60,50.17,14.24
finance/moneycentral.msn.com/EMC.html,13.26,+0.18,+1.38%,13.01,13.28,12.74,16.67,8.25
finance/moneycentral.msn.com/EMR.html,35.07,+0.13,+0.37%,34.80,35.08,34.33,56.41,24.39
finance/moneycentral.msn.com/EC.html,24.77,-0.12,-0.48%,24.42,25.00,24.41,27.85,13.90
finance/moneycentral.msn.com/ETR.html,78.24,+2.23,+2.93%,75.82,78.67,74.95,123.14,59.87
finance/moneycentral.msn.com/ENZ.html,5.49,+0.04,+0.73%,5.41,5.49,5.30,14.90,2.70
finance/moneycentral.msn.com/EFX.html,27.29,-0.01,-0.04%,27.07,27.29,26.73,37.29,19.38
finance/moneycentral.msn.com/XOM.html,73.78,-0.27,-0.36%,73.43,74.16,73.10,89.63,56.51
finance/moneycentral.msn.com/FRE.html,0.70,-0.01,-1.41%,0.70,0.71,0.69,24.23,0.25
finance/moneycentral.msn.com/FNM.html,0.66,-0.01,-1.49%,0.66,0.67,0.65,25.99,0.30
finance/moneycentral.msn.com/FDX.html,54.39,-1.77,-3.15%,55.75,56.22,53.63,96.99,34.02
finance/moneycentral.msn.com/FITB.html,8.03,+0.26,+3.35%,7.75,8.03,7.74,21.00,1.01
finance/moneycentral.msn.com/FDC.html,NA,na,NA%,NA,NA,NA,NA,NA
finance/moneycentral.msn.com/FE.html,40.48,+1.39,+3.56%,39.01,40.60,38.56,84.00,35.26
finance/moneycentral.msn.com/FLEX.html,4.40,-0.22,-4.76%,4.58,4.60,4.35,10.99,1.23
finance/moneycentral.msn.com/FLR.html,53.85,+0.03,+0.06%,53.22,53.85,52.80,101.36,28.60
finance/moneycentral.msn.com/FMC.html,52.45,-0.82,-1.54%,52.59,52.81,52.02,80.23,28.53
finance/moneycentral.msn.com/F.html,6.11,+0.13,+2.17%,6.01,6.15,5.92,6.75,1.01
finance/moneycentral.msn.com/FO.html,37.03,-0.03,-0.08%,36.89,37.13,36.26,66.72,17.67
finance/moneycentral.msn.com/FOSL.html,23.12,-0.53,-2.24%,23.50,23.64,22.66,33.36,11.00
finance/moneycentral.msn.com/FPL.html,57.39,+0.87,+1.54%,56.33,57.90,55.72,68.76,33.81
finance/moneycentral.msn.com/BEN.html,75.99,-0.39,-0.51%,76.60,76.89,74.64,109.00,37.11
finance/moneycentral.msn.com/FCX.html,58.51,-1.91,-3.16%,59.40,60.27,58.09,126.64,15.70
finance/moneycentral.msn.com/FCEL.html,4.59,-0.12,-2.55%,4.63,4.77,4.50,8.83,1.98
finance/moneycentral.msn.com/GCI.html,4.22,-0.06,-1.40%,4.25,4.27,4.15,26.10,1.85
finance/moneycentral.msn.com/GPS.html,16.37,+0.14,+0.86%,16.52,16.61,15.90,20.80,9.41
finance/moneycentral.msn.com/DNA.html,94.97,unch,,95.00,95.00,94.97,99.14,66.80
finance/moneycentral.msn.com/GD.html,59.76,+0.47,+0.79%,59.17,60.03,58.63,94.41,35.28
finance/moneycentral.msn.com/GE.html,13.51,+0.05,+0.37%,13.45,13.52,13.29,30.39,5.73
finance/moneycentral.msn.com/GIS.html,54.92,+0.21,+0.38%,54.63,55.11,54.21,72.01,46.37
finance/moneycentral.msn.com/OSCI.html,0.27,-0.11,-28.00%,0.25,0.32,0.25,1.80,0.06
finance/moneycentral.msn.com/GPC.html,33.79,-0.07,-0.21%,33.75,33.97,33.43,44.20,24.93
finance/moneycentral.msn.com/G.html,11.26,-0.07,-0.62%,11.15,11.26,10.87,15.70,6.30
finance/moneycentral.msn.com/GR.html,53.36,+1.64,+3.17%,51.72,53.36,51.54,55.34,25.11
finance/moneycentral.msn.com/GT.html,12.41,-0.67,-5.12%,12.97,13.05,12.17,23.14,3.17
finance/moneycentral.msn.com/GOOG.html,424.84,-4.16,-0.97%,426.86,427.70,421.21,579.10,247.30
finance/moneycentral.msn.com/GRA.html,13.48,-0.26,-1.89%,13.58,13.70,13.28,28.09,2.95
finance/moneycentral.msn.com/GWW.html,83.81,-0.31,-0.37%,83.84,83.96,82.91,93.99,58.86
finance/moneycentral.msn.com/GAP.html,4.98,+0.15,+3.11%,4.79,5.00,4.76,25.39,3.01
finance/moneycentral.msn.com/GES.html,26.56,+0.40,+1.53%,26.23,26.67,25.35,43.13,10.26
finance/moneycentral.msn.com/HAL.html,23.99,-0.34,-1.40%,23.75,24.13,23.60,55.38,12.80
finance/moneycentral.msn.com/HET.html,0.02,unch,,NA,NA,NA,0.04,0.02
finance/moneycentral.msn.com/HIG.html,12.95,-1.13,-8.03%,13.50,13.60,12.80,73.89,3.33
finance/moneycentral.msn.com/HAS.html,25.09,-0.94,-3.61%,25.49,25.65,24.74,41.68,21.14
finance/moneycentral.msn.com/HLTH.html,11.92,+0.11,+0.93%,11.68,12.01,11.62,12.70,6.80
finance/moneycentral.msn.com/HNZ.html,36.32,+0.29,+0.80%,36.12,36.46,35.84,53.00,30.51
finance/moneycentral.msn.com/HP.html,34.92,-0.72,-2.02%,35.11,35.13,33.86,77.24,17.01
finance/moneycentral.msn.com/HSY.html,35.39,+0.18,+0.51%,35.01,35.45,34.90,44.32,30.27
finance/moneycentral.msn.com/HLT.html,11.92,+0.11,+0.93%,11.68,12.01,11.62,12.70,6.80
finance/moneycentral.msn.com/HD.html,24.15,-0.08,-0.33%,24.19,24.24,23.83,30.74,17.05
finance/moneycentral.msn.com/HMC.html,28.86,-0.46,-1.57%,28.82,28.89,28.51,36.29,17.35
finance/moneycentral.msn.com/HON.html,35.41,-0.38,-1.06%,35.60,35.67,35.05,56.88,23.06
finance/moneycentral.msn.com/HOTT.html,7.14,-0.16,-2.19%,7.27,7.30,6.95,13.87,4.61
finance/moneycentral.msn.com/HGSI.html,2.89,-0.30,-9.40%,2.89,3.00,2.77,8.00,0.45
finance/moneycentral.msn.com/HUM.html,29.41,+0.31,+1.07%,28.90,29.63,28.44,51.39,18.57
finance/moneycentral.msn.com/HBAN.html,4.15,+0.02,+0.48%,4.11,4.26,4.11,13.50,1.00
finance/moneycentral.msn.com/ITW.html,38.08,+0.21,+0.55%,37.73,38.19,37.28,51.00,25.60
finance/moneycentral.msn.com/RX.html,13.29,+0.80,+6.41%,12.45,13.35,12.33,23.93,9.63
finance/moneycentral.msn.com/N.html,11.84,+0.64,+5.71%,11.25,11.91,11.15,22.25,5.43
finance/moneycentral.msn.com/INCY.html,3.33,+0.01,+0.30%,3.35,3.44,3.23,10.42,1.85
finance/moneycentral.msn.com/INSP.html,7.21,+0.08,+1.12%,7.10,7.28,7.00,11.94,5.07
finance/moneycentral.msn.com/INFY.html,37.12,-0.01,-0.03%,36.55,37.13,36.30,47.41,21.10
finance/moneycentral.msn.com/IR.html,23.06,+0.19,+0.83%,22.74,23.06,22.44,41.14,11.46
finance/moneycentral.msn.com/INTC.html,16.31,-0.04,-0.24%,16.24,16.31,16.02,24.75,12.05
finance/moneycentral.msn.com/ICGE.html,6.07,+0.01,+0.17%,6.01,6.13,5.97,9.84,3.04
finance/moneycentral.msn.com/IPG.html,6.00,+0.03,+0.50%,5.92,6.00,5.83,9.69,2.57
finance/moneycentral.msn.com/ISIL.html,13.02,-0.32,-2.40%,13.25,13.25,12.77,27.34,7.18
finance/moneycentral.msn.com/IBM.html,108.21,-1.19,-1.09%,108.40,109.28,107.75,130.93,69.50
finance/moneycentral.msn.com/IFF.html,32.96,-0.20,-0.60%,33.00,33.15,32.55,45.21,24.72
finance/moneycentral.msn.com/IP.html,15.81,+0.27,+1.74%,15.41,15.85,15.01,31.07,3.93
