url,NUMBER : value,NUMBER : var %,NUMBER : high,NUMBER : low,NUMBER : volume,NUMBER : 52wk high,NUMBER : 52wk low
finance/www.marketocracy.com/COMS.html,$5.03,-0.98%,$5.11,$4.83,"4,348,828",$5.22,$1.43
finance/www.marketocracy.com/KDE.html,$1.92,-2.04%,$1.96,$1.90,"7,121",$25.30,$1.01
finance/www.marketocracy.com/ABT.html,$45.42,1.93%,$46.00,$44.47,"10,284,431",$60.78,$41.27
finance/www.marketocracy.com/ANF.html,$27.58,3.68%,$27.65,$26.07,"3,522,094",$71.24,$13.66
finance/www.marketocracy.com/ADPT.html,$2.63,3.95%,$2.63,$2.52,"427,365",$4.24,$2.20
finance/www.marketocracy.com/ADBE.html,$30.15,-0.82%,$30.67,$29.61,"5,478,513",$46.44,$15.70
finance/www.marketocracy.com/ADIC.html,$12.24,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/AMD.html,$4.47,-4.89%,$4.79,$4.33,"39,939,436",$7.94,$1.62
finance/www.marketocracy.com/ADVS.html,$31.23,0.64%,$31.50,$30.62,"144,114",$49.32,$17.51
finance/www.marketocracy.com/AES.html,$10.69,2.59%,$10.79,$10.21,"7,467,654",$20.80,$4.80
finance/www.marketocracy.com/AET.html,$22.97,-1.42%,$23.70,$22.47,"6,426,512",$45.40,$14.21
finance/www.marketocracy.com/AFFX.html,$6.64,-2.79%,$6.79,$6.35,"862,088",$12.05,$1.78
finance/www.marketocracy.com/AFL.html,$32.81,-2.96%,$33.72,$32.51,"3,767,843",$68.00,$10.83
finance/www.marketocracy.com/A.html,$19.36,-1.83%,$19.67,$18.94,"2,627,609",$38.00,$12.02
finance/www.marketocracy.com/APD.html,$67.99,-0.92%,$68.32,$67.12,"1,548,455",$104.75,$41.46
finance/www.marketocracy.com/AKAM.html,$22.86,-0.13%,$22.88,$22.34,"2,592,432",$37.15,$9.25
finance/www.marketocracy.com/ACV.html,$24.41,0.25%,$24.46,$24.09,"309,915",$29.40,$19.32
finance/www.marketocracy.com/AL.html,$100.93,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/AA.html,$11.99,-1.88%,$12.14,$11.80,"35,796,554",$40.28,$4.97
finance/www.marketocracy.com/ATI.html,$41.88,-3.19%,$42.66,$41.36,"1,810,562",$67.15,$15.00
finance/www.marketocracy.com/AGN.html,$46.28,4.02%,$46.28,$44.30,"2,338,599",$61.72,$28.95
finance/www.marketocracy.com/AW.html,$10.10,0.00%,,,,$15.46,$0.00
finance/www.marketocracy.com/ALL.html,$24.85,-0.08%,$25.01,$24.60,"3,914,272",$50.47,$13.77
finance/www.marketocracy.com/AT.html,$71.20,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/ALTR.html,$16.75,-3.62%,$17.25,$16.55,"11,648,814",$24.19,$12.99
finance/www.marketocracy.com/AMZN.html,$84.08,-1.88%,$85.20,$82.01,"6,223,054",$91.75,$34.68
finance/www.marketocracy.com/AEP.html,$28.00,1.97%,$28.16,$27.03,"4,370,711",$43.37,$24.00
finance/www.marketocracy.com/AM.html,$7.45,-0.27%,$7.50,$7.08,"248,593",$18.57,$3.24
finance/www.marketocracy.com/AIG.html,$1.61,0.00%,$1.62,$1.55,"32,807,608",$34.79,$0.33
finance/www.marketocracy.com/APCC.html,$0.01,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/AHC.html,$1.17,2.63%,$1.20,$1.10,"37,124",$8.19,$0.59
finance/www.marketocracy.com/AEE.html,$24.41,0.78%,$24.61,$23.89,"1,382,995",$43.83,$19.51
finance/www.marketocracy.com/AEOS.html,$14.56,1.61%,$14.60,$13.98,"3,594,219",$18.00,$6.98
finance/www.marketocracy.com/AXP.html,$25.16,-1.83%,$25.69,$24.83,"14,797,428",$45.82,$9.71
finance/www.marketocracy.com/AMTD.html,$17.54,-2.28%,$17.86,$17.32,"3,959,090",$23.49,$9.34
finance/www.marketocracy.com/AMGN.html,$50.40,1.04%,$50.70,$49.34,"6,803,490",$66.51,$27.00
finance/www.marketocracy.com/AMR.html,$4.55,-0.87%,$4.69,$4.50,"5,066,781",$13.41,$2.40
finance/www.marketocracy.com/ASO.html,$21.27,0.91%,$21.27,$21.03,400,$26.02,$0.00
finance/www.marketocracy.com/APC.html,$50.57,-0.59%,$50.63,$49.38,"4,804,500",$81.02,$24.57
finance/www.marketocracy.com/ADI.html,$25.40,-1.32%,$25.82,$25.20,"4,751,635",$34.59,$15.29
finance/www.marketocracy.com/ANDW.html,$15.04,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/ADRX.html,$25.00,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/BUD.html,$68.58,0.00%,,,,$69.26,$0.00
finance/www.marketocracy.com/TWX.html,$26.00,-0.65%,$26.13,$25.53,"6,452,605",$50.70,$17.81
finance/www.marketocracy.com/AOC.html,$36.99,0.35%,$37.07,$36.41,"2,114,287",$50.00,$32.83
finance/www.marketocracy.com/APA.html,$84.20,-1.34%,$84.92,$83.43,"2,649,488",$145.00,$51.03
finance/www.marketocracy.com/AAPL.html,$136.97,-2.13%,$139.10,$136.04,"20,110,176",$182.60,$78.20
finance/www.marketocracy.com/AMAT.html,$11.23,0.72%,$11.24,$10.97,"17,011,098",$20.90,$7.17
finance/www.marketocracy.com/AMCC.html,$7.75,-4.79%,$8.14,$7.65,"631,579",$9.70,$3.01
finance/www.marketocracy.com/ADM.html,$28.71,-0.90%,$28.85,$28.44,"3,115,122",$36.60,$13.53
finance/www.marketocracy.com/ARIA.html,$1.86,-1.06%,$1.93,$1.84,"385,766",$3.55,$0.72
finance/www.marketocracy.com/ARBA.html,$10.60,0.76%,$10.65,$10.44,"414,494",$18.58,$6.00
finance/www.marketocracy.com/ARW.html,$22.38,-4.20%,$23.14,$21.94,"1,296,537",$36.00,$11.74
finance/www.marketocracy.com/ASH.html,$27.36,-2.77%,$28.02,$26.68,"1,495,080",$54.90,$5.35
finance/www.marketocracy.com/T.html,$25.01,0.89%,$25.05,$24.59,"27,041,071",$36.80,$20.90
finance/www.marketocracy.com/AWE.html,$14.92,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/ADSK.html,$22.24,-0.71%,$22.33,$21.82,"2,090,230",$39.89,$11.70
finance/www.marketocracy.com/ADP.html,$37.29,-0.32%,$37.48,$36.60,"2,370,223",$45.97,$30.83
finance/www.marketocracy.com/AZO.html,$155.50,0.94%,$155.98,$151.59,"774,146",$169.99,$84.66
finance/www.marketocracy.com/AVY.html,$27.94,0.00%,$28.01,$27.36,"568,803",$50.14,$17.02
finance/www.marketocracy.com/AVA.html,$16.45,2.11%,$16.49,$15.92,"370,616",$23.58,$12.67
finance/www.marketocracy.com/AVP.html,$26.61,-0.63%,$26.82,$26.34,"2,415,917",$45.34,$14.40
finance/www.marketocracy.com/BHI.html,$41.72,-1.44%,$41.88,$41.17,"3,882,310",$90.48,$24.40
finance/www.marketocracy.com/BLL.html,$43.00,-1.83%,$43.13,$42.00,"1,455,491",$53.44,$27.37
finance/www.marketocracy.com/BAC.html,$13.72,5.78%,$13.93,$13.23,"448,295,799",$39.50,$2.53
finance/www.marketocracy.com/BK.html,$29.02,0.21%,$29.02,$28.48,"6,086,762","$3,288.11",$15.44
finance/www.marketocracy.com/BCR.html,$74.05,0.08%,$74.96,$73.25,"619,986",$101.61,$68.94
finance/www.marketocracy.com/BKS.html,$23.32,1.39%,$23.42,$22.53,"756,543",$33.64,$10.77
finance/www.marketocracy.com/ABX.html,$33.99,-1.93%,$34.23,$33.35,"8,841,186",$52.48,$17.27
finance/www.marketocracy.com/BAX.html,$49.53,3.47%,$50.48,$47.08,"10,086,604",$71.53,$45.46
finance/www.marketocracy.com/BBT.html,$23.14,2.57%,$23.19,$22.45,"6,552,050",$45.31,$12.90
finance/www.marketocracy.com/BCE.html,$21.59,-2.53%,$21.94,$21.49,"1,200,802",$39.13,$16.85
finance/www.marketocracy.com/BEAS.html,$19.01,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/BSC.html,$8.74,1.76%,$9.44,$8.34,"1,300",$0.00,$0.00
finance/www.marketocracy.com/BDX.html,$68.35,0.10%,$68.87,$67.72,"1,323,767",$89.24,$58.14
finance/www.marketocracy.com/BBBY.html,$28.36,1.54%,$28.41,$27.23,"5,167,841",$34.00,$16.23
finance/www.marketocracy.com/BLS.html,$47.11,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/BMS.html,$25.00,-1.73%,$25.39,$24.82,"590,137",$29.70,$16.85
finance/www.marketocracy.com/BBY.html,$38.55,3.55%,$38.69,$36.90,"7,140,872",$100.66,$16.42
finance/www.marketocracy.com/BBH.html,$91.50,0.49%,$92.27,$90.69,"54,400",$205.67,$84.55
finance/www.marketocracy.com/BDK.html,$30.95,-0.48%,$31.06,$30.23,"763,251",$69.50,$20.10
finance/www.marketocracy.com/HRB.html,$15.69,-0.13%,$15.80,$15.35,"1,540,981",$27.97,$13.73
finance/www.marketocracy.com/BBI.html,$0.87,-1.14%,$0.91,$0.86,"1,258,709",$3.19,$0.13
finance/www.marketocracy.com/BMC.html,$35.39,0.97%,$35.48,$34.71,"1,466,804",$38.84,$20.58
finance/www.marketocracy.com/BA.html,$51.44,1.54%,$51.56,$50.11,"5,476,628",$77.80,$29.05
finance/www.marketocracy.com/BCC.html,$7.60,-3.30%,$7.86,$7.53,"1,400,215",$18.74,$1.86
finance/www.marketocracy.com/BSX.html,$9.37,0.21%,$9.50,$9.17,"7,202,153",$14.20,$0.01
finance/www.marketocracy.com/BP.html,$51.20,-1.93%,$51.24,$50.58,"4,970,474",$70.09,$33.70
finance/www.marketocracy.com/BGG.html,$15.88,-1.18%,$16.00,$15.59,"228,683",$21.51,$11.13
finance/www.marketocracy.com/BMY.html,$19.81,-0.95%,$20.00,$19.67,"10,685,361",$23.98,$16.00
finance/www.marketocracy.com/BSY.html,$29.20,-1.52%,$29.20,$28.85,"23,021",$42.00,$19.90
finance/www.marketocracy.com/BTY.html,$15.92,3.65%,$15.94,$15.74,"224,941",$43.07,$9.71
finance/www.marketocracy.com/BRCM.html,$26.30,-2.41%,$26.67,$25.66,"9,430,048",$29.91,$12.98
finance/www.marketocracy.com/BRCD.html,$7.80,1.69%,$7.92,$7.59,"19,337,172",$9.09,$2.05
finance/www.marketocracy.com/BC.html,$4.32,0.47%,$4.37,$4.19,"449,912",$16.64,$1.82
finance/www.marketocracy.com/BNI.html,$77.36,2.90%,$77.70,$75.13,"2,700,887",$110.04,$50.86
finance/www.marketocracy.com/BR.html,$17.18,-0.46%,$17.22,$16.93,"604,471",$23.00,$9.21
finance/www.marketocracy.com/CPN.html,$11.82,0.77%,$11.87,$11.35,"2,921,785",$23.08,$4.76
finance/www.marketocracy.com/CPB.html,$29.10,0.17%,$29.30,$28.80,"1,863,922",$40.85,$24.63
finance/www.marketocracy.com/COF.html,$23.94,-2.64%,$24.50,$23.72,"8,252,934",$61.46,$7.80
finance/www.marketocracy.com/CAH.html,$30.96,0.39%,$31.43,$30.67,"3,244,338",$56.45,$27.75
finance/www.marketocracy.com/CCL.html,$24.17,1.85%,$24.20,$23.58,"5,108,393",$42.39,$14.85
finance/www.marketocracy.com/CAT.html,$37.73,0.32%,$37.77,$37.02,"8,567,660",$82.35,$21.71
finance/www.marketocracy.com/CRA.html,$7.94,-3.40%,$8.38,$7.81,"593,460",$17.56,$5.03
finance/www.marketocracy.com/CELG.html,$43.23,0.35%,$43.64,$42.68,"3,608,868",$77.39,$36.90
finance/www.marketocracy.com/CD.html,$5.08,5.39%,$5.10,$4.55,"1,912,529",$12.91,$0.34
finance/www.marketocracy.com/CTX.html,$8.48,-0.47%,$8.55,$8.26,"3,757,867",$18.71,$4.91
finance/www.marketocracy.com/CTL.html,$32.06,-1.36%,$32.38,$31.40,"2,082,026",$40.35,$20.45
finance/www.marketocracy.com/CEN.html,$35.94,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/CF.html,$82.50,-0.42%,$83.71,$80.98,"1,108,534",$172.99,$37.71
finance/www.marketocracy.com/CHKP.html,$24.09,1.05%,$24.17,$23.69,"2,498,838",$25.74,$16.80
finance/www.marketocracy.com/CVX.html,$72.67,1.14%,$72.75,$70.69,"13,931,638",$100.90,$29.33
finance/www.marketocracy.com/CHL.html,$52.98,-1.96%,$53.03,$52.26,"1,614,648",$71.70,$34.33
finance/www.marketocracy.com/CHINA.html,$1.66,3.11%,$1.66,$1.57,"674,378",$3.17,$0.65
finance/www.marketocracy.com/CHIR.html,$47.98,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/CB.html,$40.82,-1.04%,$41.24,$40.56,"1,571,125",$69.39,$33.47
finance/www.marketocracy.com/CI.html,$20.89,-0.05%,$21.16,$20.21,"4,074,970",$44.14,$8.00
finance/www.marketocracy.com/CINF.html,$23.84,-0.67%,$24.15,$23.70,"709,727",$35.00,$13.68
finance/www.marketocracy.com/CIN.html,$45.41,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/CC.html,$0.02,-2.99%,$0.02,$0.02,"577,905",$4.49,$0.00
finance/www.marketocracy.com/CSCO.html,$19.91,-0.80%,$20.00,$19.63,"41,372,311",$26.70,$11.78
finance/www.marketocracy.com/C.html,$3.47,-0.29%,$3.55,$3.44,"139,079,006",$23.50,$0.97
finance/www.marketocracy.com/CTXS.html,$34.10,2.13%,$34.19,$32.80,"4,170,314",$34.41,$19.00
finance/www.marketocracy.com/CCU.html,$35.69,4.33%,$35.99,$33.85,"81,372",$36.16,$22.54
finance/www.marketocracy.com/CLX.html,$56.39,5.11%,$56.49,$54.36,"3,982,400",$65.00,$45.67
finance/www.marketocracy.com/CMGI.html,$6.57,12.31%,$6.70,$5.75,"640,754",$12.72,$1.62
finance/www.marketocracy.com/CMS.html,$12.30,1.99%,$12.37,$11.90,"5,084,916",$15.89,$8.33
finance/www.marketocracy.com/CNET.html,$11.49,0.00%,,,,$11.67,$0.00
finance/www.marketocracy.com/COKE.html,$56.35,-0.79%,$56.72,$55.67,"9,355",$57.11,$31.41
finance/www.marketocracy.com/KO.html,$48.89,0.64%,$49.04,$48.48,"8,620,310",$57.59,$37.44
finance/www.marketocracy.com/CCE.html,$17.18,-1.55%,$17.40,$17.07,"2,736,160",$19.60,$7.25
finance/www.marketocracy.com/CL.html,$71.38,1.59%,$72.00,$69.79,"3,068,588",$80.49,$54.36
finance/www.marketocracy.com/CMCSK.html,$13.73,-1.15%,$13.75,$13.39,"4,576,784",$22.37,$10.33
finance/www.marketocracy.com/CMA.html,$22.63,-0.79%,$23.15,$22.38,"1,960,754",$54.00,$11.72
finance/www.marketocracy.com/CMRC.html,$0.05,0.00%,$0.05,$0.05,"1,600",$0.19,$0.04
finance/www.marketocracy.com/CA.html,$17.73,-0.62%,$17.99,$17.46,"3,595,606",$24.67,$12.00
finance/www.marketocracy.com/CSC.html,$44.99,0.78%,$45.12,$44.10,"1,133,822",$49.37,$23.93
finance/www.marketocracy.com/CPWR.html,$7.43,-1.07%,$7.66,$7.31,"2,904,081",$11.91,$5.08
finance/www.marketocracy.com/CMVT.html,$7.60,0.66%,$7.70,$7.50,"165,015",$18.94,$4.98
finance/www.marketocracy.com/CAG.html,$19.46,-0.87%,$19.69,$19.34,"4,408,301",$23.51,$13.52
finance/www.marketocracy.com/ED.html,$37.08,1.09%,$37.15,$36.13,"1,755,160",$46.39,$32.56
finance/www.marketocracy.com/CEG.html,$27.23,1.00%,$27.47,$26.70,"3,096,042",$87.04,$13.00
finance/www.marketocracy.com/CAL.html,$9.09,-1.73%,$9.46,$9.05,"4,564,492",$21.83,$5.91
finance/www.marketocracy.com/CVG.html,$9.28,-1.28%,$9.40,$9.15,"555,634",$16.99,$4.02
finance/www.marketocracy.com/CBE.html,$34.13,-0.84%,$34.26,$33.67,"2,088,234",$49.64,$18.86
finance/www.marketocracy.com/CTB.html,$9.22,-7.43%,$9.88,$8.95,"1,237,578",$12.15,$2.96
finance/www.marketocracy.com/GLW.html,$15.89,-0.44%,$15.90,$15.41,"10,949,120",$27.56,$7.36
finance/www.marketocracy.com/COST.html,$47.03,1.64%,$47.10,$45.96,"4,735,611",$74.89,$30.70
finance/www.marketocracy.com/COX.html,$34.72,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/CR.html,$24.06,-2.47%,$24.59,$23.82,"365,530",$42.94,$10.87
finance/www.marketocracy.com/CREE.html,$28.74,-2.13%,$29.36,$28.30,"1,424,633",$31.75,$12.57
finance/www.marketocracy.com/CCK.html,$23.25,-1.77%,$23.62,$23.01,"1,741,720",$29.60,$13.37
finance/www.marketocracy.com/CSX.html,$36.52,4.76%,$36.57,$34.77,"8,478,100",$69.50,$20.70
finance/www.marketocracy.com/CRGN.html,$1.38,-0.72%,$1.39,$1.35,"545,924",$1.48,$0.41
finance/www.marketocracy.com/CVS.html,$30.35,0.26%,$30.36,$29.90,"7,274,355",$42.78,$23.19
finance/www.marketocracy.com/CYTO.html,$0.61,0.00%,,,,$0.61,$0.00
finance/www.marketocracy.com/DCX.html,$39.09,0.28%,$39.41,$38.78,"323,517",$70.85,$21.53
finance/www.marketocracy.com/DCN.html,$0.00,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/DHR.html,$62.77,-0.74%,$63.03,$62.00,"1,456,590",$85.00,$47.20
finance/www.marketocracy.com/DRI.html,$33.80,2.52%,$33.83,$32.67,"2,024,967",$41.21,$13.21
finance/www.marketocracy.com/DE.html,$44.77,-0.69%,$44.78,$43.70,"3,587,279",$81.22,$24.51
finance/www.marketocracy.com/DELL.html,$13.39,0.90%,$13.40,$13.05,"25,270,320",$26.04,$7.84
finance/www.marketocracy.com/DAL.html,$6.40,-4.19%,$6.74,$6.37,"11,727,463",$12.65,$3.51
finance/www.marketocracy.com/DEL.html,$38.57,2.04%,$38.85,$37.09,"40,765",$75.08,$26.94
finance/www.marketocracy.com/DLX.html,$14.71,-2.71%,$14.99,$14.26,"222,798",$21.13,$6.20
finance/www.marketocracy.com/DIA.html,$88.29,0.49%,$88.33,$87.37,"12,743,832",$123.43,$64.78
finance/www.marketocracy.com/DDS.html,$10.04,3.83%,$10.08,$9.46,"755,492",$15.37,$2.50
finance/www.marketocracy.com/DIS.html,$25.06,-0.67%,$25.39,$24.52,"7,332,339",$34.85,$15.14
finance/www.marketocracy.com/DVSA.html,$0.79,-3.66%,$0.84,$0.77,"943,482",$3.88,$0.23
finance/www.marketocracy.com/DLTR.html,$43.29,-0.39%,$43.70,$42.56,"1,171,711",$46.74,$27.61
finance/www.marketocracy.com/D.html,$33.39,1.34%,$33.52,$32.44,"3,535,508",$48.50,$27.15
finance/www.marketocracy.com/DOV.html,$36.16,-0.11%,$36.16,$35.35,"1,419,848",$52.43,$21.79
finance/www.marketocracy.com/DOW.html,$17.34,-0.52%,$17.50,$17.05,"9,925,352",$39.99,$5.89
finance/www.marketocracy.com/DJ.html,$59.97,0.00%,,,,$0.00,$0.00
finance/www.marketocracy.com/DTE.html,$31.96,1.36%,$32.10,$31.15,"908,450",$44.97,$23.32
