url,STRING : club,STRING : position,STRING : national_team,SPACE : height,MASS : weight,DATE : birthdate
soccer/uk.eurosport.yahoo.com/aaron-hunt.html,Werder Brême,Striker,Germany,1.83m.,70.00kg.,04/09/1986 in Goslar
soccer/uk.eurosport.yahoo.com/aaron-lennon.html,Tottenham,Midfielders,,1.65m.,62.00kg.,16/04/1987 in Leeds
soccer/uk.eurosport.yahoo.com/aaron-mokoena.html,,Defender,South Africa,1.83m.,78.00kg.,25/11/1980 in Johannesburg
soccer/uk.eurosport.yahoo.com/abdoulaye-meite.html,Bolton,Defender,Ivory Coast,1.85m.,82.00kg.,06/10/1980 in Paris
soccer/uk.eurosport.yahoo.com/adrian-mutu.html,Fiorentina,Striker,Roumania,1.80m.,74.00kg.,08/01/1979 in
soccer/uk.eurosport.yahoo.com/adriano.html,Monaco,Defender,Brazil,1.79m.,70.00kg.,03/04/1982 in Salvador De Bahia
soccer/uk.eurosport.yahoo.com/ahmed-fathi.html,Al-Ahly Le Caire,Defender,Egypt,1.75m.,73.00kg.,10/11/1984 in
soccer/uk.eurosport.yahoo.com/ahmed-hassan.html,RSC Anderlecht,Midfielders,Egypt,1.78m.,70.00kg.,02/05/1975 in Misir
soccer/uk.eurosport.yahoo.com/alan-hutton.html,Tottenham,Defender,,1.85m.,72.00kg.,30/11/1984 in Glasgow
soccer/uk.eurosport.yahoo.com/alan-smith.html,,Striker,,1.76m.,69.00kg.,28/10/1980 in Rothwell
soccer/uk.eurosport.yahoo.com/alan-stubbs.html,,Defender,,1.87m.,86.00kg.,06/10/1971 in Kirkby
soccer/uk.eurosport.yahoo.com/albert-riera.html,FC,Midfielders,Spain,1.87m.,77.00kg.,15/04/1982 in
soccer/uk.eurosport.yahoo.com/alberto-aquilani.html,AS Rome,Midfielders,Italy,1.86m.,77.00kg.,07/07/1984 in
soccer/uk.eurosport.yahoo.com/alberto-gilardino.html,Fiorentina,Striker,Italy,1.84m.,79.00kg.,05/07/1982 in Biella
soccer/uk.eurosport.yahoo.com/alejandro-dominguez.html,Zénith St-Petersbourg,Striker,Argentina,1.75m.,73.00kg.,10/06/1981 in Lanus ( Argentina )
soccer/uk.eurosport.yahoo.com/alessandro-delpiero.html,Juventus Turin,Striker,Italy,1.75m.,74.00kg.,09/11/1974 in Conegliano
soccer/uk.eurosport.yahoo.com/alessandro-gamberini.html,Fiorentina,Defender,Italy,1.85m.,78.00kg.,27/08/1981 in
soccer/uk.eurosport.yahoo.com/alexander-frei.html,Borussia Dortmund,Striker,Switzerland,1.79m.,74.00kg.,15/07/1979 in Bâle
soccer/uk.eurosport.yahoo.com/alexander-hleb.html,(FC) Barcelone,Midfielders,Belarus,1.82m.,72.00kg.,01/05/1981 in Minsk
soccer/uk.eurosport.yahoo.com/alexandre-songbillong.html,,Midfielders,Cameroon,1.82m.,74.00kg.,09/09/1987 in Douala
soccer/uk.eurosport.yahoo.com/alexandros-tziolis.html,Panathinaïkos,Midfielders,Greece,1.89m.,82.00kg.,13/02/1985 in
soccer/uk.eurosport.yahoo.com/alvaro-recoba.html,Panionios Athènes,Striker,Uruguay,1.73m.,68.00kg.,17/03/1976 in Montevideo
soccer/uk.eurosport.yahoo.com/alves-afonso.html,SC Heerenveen,Striker,Brazil,1.85m.,74.00kg.,30/01/1981 in
soccer/uk.eurosport.yahoo.com/amara-diane.html,Paris-SG,Striker,Ivory Coast,1.81m.,71.00kg.,19/08/1982 in Abidjan
soccer/uk.eurosport.yahoo.com/amaury-bischoff.html,,Midfielders,France,1.75m.,61.00kg.,31/03/1987 in Colmar
soccer/uk.eurosport.yahoo.com/anatoliy-tymoshchuk.html,Zénith St-Petersbourg,Midfielders,Ukraine,1.82m.,73.00kg.,30/03/1979 in Lutsk
soccer/uk.eurosport.yahoo.com/anderson.html,,Midfielders,Brazil,1.76m.,69.00kg.,13/04/1988 in
soccer/uk.eurosport.yahoo.com/andrea-dossena.html,FC,Defender,Italy,1.80m.,74.00kg.,11/09/1981 in Lodi
soccer/uk.eurosport.yahoo.com/andreas-granqvist.html,(FC) Groningue,Defender,Sweden,1.92m.,84.00kg.,16/04/1985 in
soccer/uk.eurosport.yahoo.com/andreas-hinkel.html,Glasgow,Defender,Germany,1.83m.,74.00kg.,26/03/1982 in Backnang
soccer/uk.eurosport.yahoo.com/andreas-isaksson.html,PSV Eindhoven,Goalkeeper,Sweden,1.99m.,88.00kg.,03/10/1981 in
soccer/uk.eurosport.yahoo.com/andreas-ivanschitz.html,Panathinaïkos,Midfielders,Austria,1.83m.,79.00kg.,15/10/1983 in
soccer/uk.eurosport.yahoo.com/andres-iniesta.html,(FC) Barcelone,Midfielders,Spain,1.69m.,64.00kg.,11/05/1984 in
soccer/uk.eurosport.yahoo.com/andrew-johnson.html,,Striker,,1.70m.,71.00kg.,10/02/1981 in Bedford
soccer/uk.eurosport.yahoo.com/andre-chevtchenko.html,Milan AC,Striker,Ukraine,1.83m.,73.00kg.,29/09/1976 in Dvirkivshchyna
soccer/uk.eurosport.yahoo.com/andr-ayew.html,Lorient,Striker,Ghana,1.76m.,72.00kg.,17/12/1989 in Lille
soccer/uk.eurosport.yahoo.com/andy-cole.html,,Striker,,1.80m.,77.00kg.,15/10/1971 in Nottingham
soccer/uk.eurosport.yahoo.com/andy-griffin.html,,Defender,,1.72m.,68.00kg.,17/03/1979 in Wigan
soccer/uk.eurosport.yahoo.com/andy-todd.html,,Defender,,1.77m.,68.00kg.,21/09/1974 in Derby
soccer/uk.eurosport.yahoo.com/anthony-mounier.html,Lyon,Striker,France,1.74m.,65.00kg.,27/09/1987 in Aubenas
soccer/uk.eurosport.yahoo.com/anthony-stokes.html,,Striker,Ireland,1.80m.,73.00kg.,25/07/1988 in Dublin
soccer/uk.eurosport.yahoo.com/antoine-sibierski.html,,Midfielders,France,1.87m.,80.00kg.,05/08/1974 in Lille
soccer/uk.eurosport.yahoo.com/anton-ferdinand.html,,Defender,,1.80m.,74.00kg.,18/02/1985 in Peckham
soccer/uk.eurosport.yahoo.com/antonio-cassano.html,Sampdoria Gênes,Striker,Italy,1.75m.,70.00kg.,12/07/1982 in
soccer/uk.eurosport.yahoo.com/antonio-chimenti.html,Juventus Turin,Goalkeeper,Italy,1.84m.,83.00kg.,30/06/1970 in Bari
soccer/uk.eurosport.yahoo.com/antti-niemi.html,,Goalkeeper,Finland,1.86m.,83.00kg.,06/07/1972 in Oulu
soccer/uk.eurosport.yahoo.com/arjen-robben.html,Real Madrid,Striker,Netherlands,1.80m.,75.00kg.,23/01/1984 in
soccer/uk.eurosport.yahoo.com/artur-boruc.html,Glasgow,Goalkeeper,Poland,1.93m.,85.00kg.,20/02/1980 in Sieldce ( Poland )
soccer/uk.eurosport.yahoo.com/ashley-cole.html,,Defender,,1.72m.,67.00kg.,20/12/1980 in Stepney
soccer/uk.eurosport.yahoo.com/ashley-young.html,,Striker,,1.75m.,63.00kg.,09/07/1985 in Stevenage
soccer/uk.eurosport.yahoo.com/bafetimbi-gomis.html,Saint-Etienne,Striker,France,1.84m.,77.00kg.,06/08/1985 in La Seyne-sur-Mer
soccer/uk.eurosport.yahoo.com/bakari-sagna.html,,Defender,France,1.76m.,72.00kg.,14/02/1983 in Sens
soccer/uk.eurosport.yahoo.com/barry-ferguson.html,,Midfielders,,1.82m.,75.00kg.,09/02/1978 in Glasgow
soccer/uk.eurosport.yahoo.com/barry-robson.html,Glasgow,Midfielders,,1.80m.,76.00kg.,07/11/1978 in
soccer/uk.eurosport.yahoo.com/bastian-schweinsteiger.html,Bayern Munich,Midfielders,Germany,1.80m.,76.00kg.,01/08/1984 in
soccer/uk.eurosport.yahoo.com/ben-foster.html,,Goalkeeper,,1.87m.,79.00kg.,03/04/1983 in Leamington Spa
soccer/uk.eurosport.yahoo.com/ben-sahar.html,,Striker,Israel,1.80m.,72.00kg.,10/08/1989 in
soccer/uk.eurosport.yahoo.com/benedict-mccarthy.html,,Striker,South Africa,1.84m.,80.00kg.,12/11/1977 in Cap Town
soccer/uk.eurosport.yahoo.com/benjani.html,,Striker,Zimbabwe,1.82m.,78.00kg.,13/08/1978 in Bulawayo
soccer/uk.eurosport.yahoo.com/bernard-mendy.html,,Defender,France,1.80m.,77.00kg.,20/08/1981 in Evreux
soccer/uk.eurosport.yahoo.com/bernardo-corradi.html,Reggina,Striker,Italy,1.89m.,86.00kg.,30/03/1976 in Siena
soccer/uk.eurosport.yahoo.com/bobby-zamora.html,,Striker,,1.85m.,73.00kg.,16/01/1981 in London
soccer/uk.eurosport.yahoo.com/brad-friedel.html,,Goalkeeper,USA,1.93m.,92.00kg.,"18/05/1971 in Lakewood, Ohio"
soccer/uk.eurosport.yahoo.com/brad-guzan.html,,Goalkeeper,USA,,,09/09/1984 in
soccer/uk.eurosport.yahoo.com/branislav-ivanovic.html,,Defender,Serbia,1.88m.,84.00kg.,22/02/1984 in
soccer/uk.eurosport.yahoo.com/brede-hangeland.html,,Defender,Norway,1.95m.,85.00kg.,20/06/1981 in
soccer/uk.eurosport.yahoo.com/brian-mcbride.html,,Striker,USA,1.86m.,78.00kg.,19/06/1972 in Arlington Eights ( Illinois )
soccer/uk.eurosport.yahoo.com/bruno-berner.html,,Defender,Switzerland,1.85m.,82.00kg.,21/11/1977 in Zurich
soccer/uk.eurosport.yahoo.com/carles-puyol.html,(FC) Barcelone,Defender,Spain,1.78m.,80.00kg.,13/04/1978 in
soccer/uk.eurosport.yahoo.com/carlo-cudicini.html,,Goalkeeper,Italy,1.83m.,78.00kg.,06/09/1973 in Milan
soccer/uk.eurosport.yahoo.com/carlos-bocanegra.html,Rennes,Defender,USA,1.83m.,78.00kg.,25/05/1979 in
soccer/uk.eurosport.yahoo.com/carlos-tevez.html,,Striker,Argentina,1.69m.,77.00kg.,05/02/1984 in Buenos Aires
soccer/uk.eurosport.yahoo.com/carlos-villanueva.html,,Midfielders,Chili,1.73m.,70.00kg.,05/02/1986 in
soccer/uk.eurosport.yahoo.com/carloslopez-marchena.html,Valence CF,Defender,Spain,1.83m.,78.00kg.,31/07/1979 in
soccer/uk.eurosport.yahoo.com/carlton-cole.html,West Ham Utd,Striker,,1.90m.,88.00kg.,12/11/1983 in Surrey
soccer/uk.eurosport.yahoo.com/charles-kabore.html,Marseille,Midfielders,Burkina Faso,1.81m.,75.00kg.,09/02/1988 in
soccer/uk.eurosport.yahoo.com/chris-baird.html,,Defender,Northern Ireland,1.80m.,72.00kg.,25/02/1982 in Ballymoney
soccer/uk.eurosport.yahoo.com/christian-abbiati.html,Milan AC,Goalkeeper,Italy,1.91m.,92.00kg.,08/07/1977 in Abbiategrasso
soccer/uk.eurosport.yahoo.com/christian-manfredini.html,Lazio Rome,Midfielders,Italy,1.80m.,70.00kg.,01/05/1975 in Port Bouet
soccer/uk.eurosport.yahoo.com/christian-panucci.html,AS Rome,Defender,Italy,1.81m.,77.00kg.,12/04/1973 in
soccer/uk.eurosport.yahoo.com/christian-wilhelmsson.html,Al Hilal Ryad,Midfielders,Sweden,1.77m.,68.00kg.,08/12/1979 in
soccer/uk.eurosport.yahoo.com/christopher-kirkland.html,,Goalkeeper,,1.90m.,73.00kg.,02/05/1981 in Leicester
soccer/uk.eurosport.yahoo.com/christopher-samba.html,,Defender,Congo,1.94m.,88.00kg.,28/03/1984 in Créteil
soccer/uk.eurosport.yahoo.com/claude-davis.html,,Defender,Jamaica,1.90m.,90.00kg.,06/03/1979 in Kingston
soccer/uk.eurosport.yahoo.com/claude-makelele.html,Paris-SG,Midfielders,France,1.74m.,70.00kg.,18/02/1973 in Kinshasa ( RDC )
soccer/uk.eurosport.yahoo.com/claudio-cacapa.html,,Defender,Brazil,1.84m.,77.00kg.,29/05/1976 in Lavras
soccer/uk.eurosport.yahoo.com/clemens-fritz.html,Werder Brême,Defender,Germany,1.82m.,74.00kg.,07/12/1980 in
soccer/uk.eurosport.yahoo.com/craig-fagan.html,,Striker,,1.80m.,75.00kg.,11/12/1982 in Birmingham
soccer/uk.eurosport.yahoo.com/craig-gordon.html,,Goalkeeper,,1.93m.,77.00kg.,31/12/1982 in Edimbourgh
soccer/uk.eurosport.yahoo.com/craigdouglas-bellamy.html,West Ham Utd,Striker,Wales,1.75m.,68.00kg.,13/07/1979 in Cardiff
soccer/uk.eurosport.yahoo.com/cristian-molinaro.html,Juventus Turin,Defender,Italy,1.82m.,72.00kg.,30/07/1983 in Moio Civitella
soccer/uk.eurosport.yahoo.com/cristiano-zanetti.html,Juventus Turin,Midfielders,Italy,1.80m.,75.00kg.,14/04/1977 in Carrara
soccer/uk.eurosport.yahoo.com/cristianoronaldo.html,,Striker,Portugal,1.84m.,75.00kg.,05/02/1985 in Madère
soccer/uk.eurosport.yahoo.com/cristian-rodriguez.html,(FC) Porto,Midfielders,Uruguay,1.75m.,72.00kg.,30/09/1985 in Montevideo
soccer/uk.eurosport.yahoo.com/damien-duff.html,,Midfielders,Ireland,1.77m.,60.00kg.,02/03/1979 in Ballyboden (
soccer/uk.eurosport.yahoo.com/daniel-agger.html,FC,Defender,Denmark,1.89m.,80.00kg.,12/12/1984 in Hivdovre
soccer/uk.eurosport.yahoo.com/daniel-braaten.html,Toulouse,Midfielders,Norway,1.84m.,85.00kg.,25/05/1982 in Oslo
soccer/uk.eurosport.yahoo.com/daniel-cousin.html,,Striker,Gabon,1.87m.,82.00kg.,07/02/1977 in Libreville
soccer/uk.eurosport.yahoo.com/daniel-gygax.html,(FC) Nuremberg,Striker,Switzerland,1.79m.,73.00kg.,28/08/1981 in
soccer/uk.eurosport.yahoo.com/daniel-vanbuyten.html,Bayern Munich,Defender,Belgium,1.97m.,87.00kg.,07/02/1978 in Chimay
soccer/uk.eurosport.yahoo.com/daniele-adani.html,Empoli,Defender,Italy,1.83m.,76.00kg.,10/07/1974 in Correggio
soccer/uk.eurosport.yahoo.com/daniele-derossi.html,AS Rome,Midfielders,Italy,1.84m.,83.00kg.,24/07/1983 in Rome
soccer/uk.eurosport.yahoo.com/danny-guthrie.html,,Midfielders,,1.75m.,73.00kg.,18/04/1987 in Shrewsbury
soccer/uk.eurosport.yahoo.com/danny-higginbotham.html,,Defender,,1.87m.,78.00kg.,29/12/1978 in Manchester
soccer/uk.eurosport.yahoo.com/danny-koevermans.html,PSV Eindhoven,Striker,Netherlands,1.91m.,90.00kg.,01/11/1978 in
soccer/uk.eurosport.yahoo.com/danny-shittu.html,Bolton,Defender,Nigeria,1.91m.,102.00kg.,02/09/1980 in Lagos ( Nigéria )
soccer/uk.eurosport.yahoo.com/dario-knezevic.html,Juventus Turin,Defender,Croatia,1.84m.,74.00kg.,20/04/1982 in
soccer/uk.eurosport.yahoo.com/dario-srna.html,Chakhtior Donetsk,Midfielders,Croatia,1.82m.,78.00kg.,01/05/1982 in Metkovic
soccer/uk.eurosport.yahoo.com/darius-vassell.html,,Striker,,1.71m.,76.00kg.,13/06/1980 in Birmingham
soccer/uk.eurosport.yahoo.com/darren-bent.html,Tottenham,Striker,,1.80m.,73.00kg.,06/02/1984 in Tooting
soccer/uk.eurosport.yahoo.com/darren-fletcher.html,,Midfielders,,1.80m.,79.00kg.,01/02/1984 in Edimbourg
soccer/uk.eurosport.yahoo.com/daryl-murphy.html,,Striker,Ireland,1.82m.,82.00kg.,15/03/1983 in Waterford
soccer/uk.eurosport.yahoo.com/david-beckham.html,Los Angeles Galaxy,Midfielders,,1.82m.,75.00kg.,02/05/1975 in Leytonstone
soccer/uk.eurosport.yahoo.com/david-bentley.html,Tottenham,Striker,,1.75m.,68.00kg.,27/08/1984 in
soccer/uk.eurosport.yahoo.com/david-cotterill.html,Sheffield Utd,Striker,Wales,,,04/12/1987 in
soccer/uk.eurosport.yahoo.com/david-healy.html,,Striker,Northern Ireland,1.72m.,67.00kg.,05/09/1979 in Downpatrick
soccer/uk.eurosport.yahoo.com/david-james.html,,Goalkeeper,,1.94m.,95.00kg.,01/08/1970 in Welwyn
soccer/uk.eurosport.yahoo.com/david-nugent.html,,Striker,,1.80m.,76.00kg.,02/05/1985 in
soccer/uk.eurosport.yahoo.com/david-rozehnal.html,Lazio Rome,Defender,Czech Republic,1.91m.,80.00kg.,05/07/1980 in Sternbeck
soccer/uk.eurosport.yahoo.com/david-silva.html,Valence CF,Midfielders,Spain,1.70m.,67.00kg.,08/01/1986 in
soccer/uk.eurosport.yahoo.com/david-trezeguet.html,Juventus Turin,Striker,France,1.87m.,75.00kg.,15/10/1977 in Rouen
soccer/uk.eurosport.yahoo.com/david-villa.html,Valence CF,Striker,Spain,1.75m.,69.00kg.,03/12/1981 in
soccer/uk.eurosport.yahoo.com/david-wheater.html,,Defender,,1.96m.,81.00kg.,14/02/1987 in
soccer/uk.eurosport.yahoo.com/dayro-moreno.html,Steaua Bucarest,Midfielders,Colombia,1.77m.,73.00kg.,16/09/1985 in
soccer/uk.eurosport.yahoo.com/dean-leacock.html,,Defender,,1.89m.,78.00kg.,10/06/1984 in Croydon
soccer/uk.eurosport.yahoo.com/demirel-volkan.html,Fenerbahçe,Goalkeeper,Turkey,1.91m.,92.00kg.,27/10/1981 in
soccer/uk.eurosport.yahoo.com/dickson-etuhu.html,,Midfielders,Nigeria,1.87m.,82.00kg.,08/06/1982 in
soccer/uk.eurosport.yahoo.com/didier-digard.html,,Midfielders,France,1.83m.,76.00kg.,12/07/1986 in Gisors
soccer/uk.eurosport.yahoo.com/didier-drogba.html,,Striker,Ivory Coast,1.89m.,88.00kg.,11/03/1978 in Abidjan
soccer/uk.eurosport.yahoo.com/didier-zokora.html,Tottenham,Midfielders,Ivory Coast,1.79m.,72.00kg.,14/12/1980 in Abidjan
soccer/uk.eurosport.yahoo.com/diego-forlan.html,Atletico Madrid,Striker,Uruguay,1.72m.,75.00kg.,19/05/1979 in Montevideo
soccer/uk.eurosport.yahoo.com/diego-lopez.html,Cagliari,Defender,Uruguay,1.80m.,76.00kg.,22/08/1974 in Montevideo
soccer/uk.eurosport.yahoo.com/diegocapel.html,(FC) Séville,Midfielders,Spain,1.73m.,67.00kg.,16/02/1988 in Albox
soccer/uk.eurosport.yahoo.com/dietmar-hamann.html,,Midfielders,Germany,1.89m.,72.00kg.,27/08/1973 in Waldrassen
soccer/uk.eurosport.yahoo.com/dimitar-berbatov.html,,Striker,Bulgaria,1.88m.,79.00kg.,30/01/1981 in Blagoevgrad
soccer/uk.eurosport.yahoo.com/dirk-kuyt.html,FC,Striker,Netherlands,1.84m.,77.00kg.,22/07/1980 in
soccer/uk.eurosport.yahoo.com/dirk-marcellis.html,PSV Eindhoven,Defender,Netherlands,,,13/04/1988 in
soccer/uk.eurosport.yahoo.com/ebi-smolarek.html,Bolton,Striker,Poland,1.78m.,68.00kg.,09/01/1981 in Lodz ( Poland )
soccer/uk.eurosport.yahoo.com/edison-mendez.html,PSV Eindhoven,Midfielders,Ecuador,1.72m.,69.00kg.,16/03/1979 in Valle del Chota
soccer/uk.eurosport.yahoo.com/eduardo-rubio.html,FC Bâle,Striker,Chili,,,07/11/1983 in
soccer/uk.eurosport.yahoo.com/edwin-vandersar.html,,Goalkeeper,Netherlands,1.97m.,84.00kg.,29/10/1970 in
soccer/uk.eurosport.yahoo.com/eidur-gudjohnsen.html,(FC) Barcelone,Striker,Iceland,1.85m.,82.00kg.,15/09/1978 in Reykjavik
soccer/uk.eurosport.yahoo.com/elliot-grandin.html,Marseille,Striker,France,1.78m.,66.00kg.,17/10/1987 in Caen
soccer/uk.eurosport.yahoo.com/emerse-fae.html,FC,Midfielders,Ivory Coast,1.74m.,71.00kg.,24/01/1984 in Nantes
soccer/uk.eurosport.yahoo.com/emile-heskey.html,,Striker,,1.89m.,88.00kg.,11/01/1978 in Leicester
soccer/uk.eurosport.yahoo.com/emmanuel-eboue.html,,Defender,Ivory Coast,1.78m.,72.00kg.,04/06/1983 in Abidjan
soccer/uk.eurosport.yahoo.com/eren-derdiyok.html,FC Bâle,Striker,Switzerland,1.90m.,83.00kg.,12/06/1988 in
soccer/uk.eurosport.yahoo.com/eric-abidal.html,(FC) Barcelone,Defender,France,1.80m.,75.00kg.,11/07/1979 in Lyon
soccer/uk.eurosport.yahoo.com/eric-addo.html,PSV Eindhoven,Defender,Ghana,1.83m.,70.00kg.,12/11/1978 in Accra
soccer/uk.eurosport.yahoo.com/erik-edman.html,,Defender,Sweden,1.79m.,79.00kg.,11/11/1978 in Jonkoepping
soccer/uk.eurosport.yahoo.com/ezequiel-garay.html,Racing Santander,Defender,Argentina,1.86m.,87.00kg.,10/10/1986 in Rosario
soccer/uk.eurosport.yahoo.com/fabio-grosso.html,Lyon,Defender,Italy,1.85m.,74.00kg.,28/11/1977 in Rome
soccer/uk.eurosport.yahoo.com/fabio-rochemback.html,Sporting Portugal,Midfielders,Brazil,1.83m.,83.00kg.,10/12/1981 in Soledade
soccer/uk.eurosport.yahoo.com/fabrice-muamba.html,Bolton,Midfielders,,1.88m.,78.00kg.,06/07/1988 in
soccer/uk.eurosport.yahoo.com/fabricio-coloccini.html,,Defender,Argentina,1.83m.,78.00kg.,22/01/1982 in Cordoba
soccer/uk.eurosport.yahoo.com/fernando.html,Bordeaux,Midfielders,Brazil,1.86m.,79.00kg.,05/03/1981 in Anita Garibaldi
soccer/uk.eurosport.yahoo.com/filippo-inzaghi.html,Milan AC,Striker,Italy,1.81m.,74.00kg.,09/08/1973 in Plaisance
soccer/uk.eurosport.yahoo.com/florent-malouda.html,,Midfielders,France,1.81m.,73.00kg.,13/06/1980 in Cayenne ( Guyane )
soccer/uk.eurosport.yahoo.com/florian-marange.html,Bordeaux,Defender,France,1.80m.,76.00kg.,03/03/1986 in Talence
soccer/uk.eurosport.yahoo.com/fraizer-campbell.html,Tottenham,Striker,,,,13/09/1987 in Huddersfield
soccer/uk.eurosport.yahoo.com/francesc-fabregas.html,,Midfielders,Spain,1.80m.,69.00kg.,04/05/1987 in
soccer/uk.eurosport.yahoo.com/francesco-bolzoni.html,Inter Milan,Midfielders,Italy,,,07/05/1989 in Lodi
soccer/uk.eurosport.yahoo.com/francesco-totti.html,AS Rome,Striker,Italy,1.80m.,80.00kg.,27/09/1976 in Rome
soccer/uk.eurosport.yahoo.com/francis-jeffers.html,Sheff Wed,Striker,,1.77m.,64.00kg.,25/01/1981 in
soccer/uk.eurosport.yahoo.com/franck-jurietti.html,Bordeaux,Defender,France,1.77m.,71.00kg.,30/03/1975 in Valence
soccer/uk.eurosport.yahoo.com/franck-queudrue.html,,Defender,France,1.83m.,77.00kg.,27/08/1978 in Paris
soccer/uk.eurosport.yahoo.com/franck-ribery.html,Bayern Munich,Midfielders,France,1.70m.,62.00kg.,01/04/1983 in Boulogne-sur-Mer
soccer/uk.eurosport.yahoo.com/frank-lampard.html,,Midfielders,,1.83m.,76.00kg.,20/06/1978 in Romford
soccer/uk.eurosport.yahoo.com/frdric-kanoute.html,(FC) Séville,Striker,Mali,1.92m.,82.00kg.,02/09/1977 in
soccer/uk.eurosport.yahoo.com/fredrik-ljungberg.html,Seattle Sounders,Midfielders,Sweden,1.76m.,75.00kg.,16/04/1977 in
soccer/uk.eurosport.yahoo.com/fredrik-stoor.html,,Defender,Sweden,1.83m.,79.00kg.,28/02/1984 in
soccer/uk.eurosport.yahoo.com/gabriel-agbonlahor.html,,Striker,,,,13/10/1986 in Birmingham
soccer/uk.eurosport.yahoo.com/gabriel-heinze.html,Real Madrid,Defender,Argentina,1.78m.,72.00kg.,19/03/1978 in Crespo
soccer/uk.eurosport.yahoo.com/gabriel-milito.html,(FC) Barcelone,Defender,Argentina,1.76m.,80.00kg.,07/09/1980 in Buenos Aires
soccer/uk.eurosport.yahoo.com/gabriel-obertan.html,Bordeaux,Striker,France,1.86m.,79.00kg.,26/02/1989 in Paris
soccer/uk.eurosport.yahoo.com/gareth-bale.html,Tottenham,Defender,Wales,1.83m.,74.00kg.,16/07/1989 in
soccer/uk.eurosport.yahoo.com/gareth-barry.html,,Midfielders,,1.84m.,73.00kg.,23/02/1981 in Hastings
soccer/uk.eurosport.yahoo.com/gareth-southgate.html,,Defender,,1.84m.,78.00kg.,03/09/1970 in
soccer/uk.eurosport.yahoo.com/gary-cahill.html,Bolton,Defender,,1.87m.,78.00kg.,19/12/1985 in Sheffield
soccer/uk.eurosport.yahoo.com/gary-caldwell.html,Glasgow,Defender,,1.80m.,74.00kg.,12/04/1982 in Stirling
soccer/uk.eurosport.yahoo.com/gary-neville.html,,Defender,,1.80m.,79.00kg.,18/02/1975 in
soccer/uk.eurosport.yahoo.com/gal-clichy.html,,Defender,France,1.81m.,72.00kg.,26/07/1985 in Toulouse
soccer/uk.eurosport.yahoo.com/george-boateng.html,,Midfielders,Netherlands,1.82m.,76.00kg.,05/09/1975 in Accra
