url,STRING : birthplace,STRING : national_team,STRING : position,DATE : birthdate,STRING : club
soccer/www.footymania.com/433.html,", Czech republic",Czech republic,Midfielder Right,26/7/1979,Marseille
soccer/www.footymania.com/959.html,"Birmingham, England",England,Midfielder,2/12/1978,Bristol Rovers
soccer/www.footymania.com/3049.html,"Aurora, United states",United states,"Midfield Left, Wing Left",14/3/1983,FC Dallas
soccer/www.footymania.com/504.html,"Knutsford, England",England,Forward,21/10/1979,
soccer/www.footymania.com/719.html,", Morocco",Morocco,Defender,0/0/2000,
soccer/www.footymania.com/590.html,"Ksar-Askour, Morocco",Morocco,Defender Center,1/11/1978,Rennes
soccer/www.footymania.com/1955.html,"Lome Golfe, Togo",Togo,Forward,25/6/1986,Red Bull
soccer/www.footymania.com/3926.html,", Cote d'ivoire",Cote d'ivoire,Defender,6/10/1980,Bolton Wanderers
soccer/www.footymania.com/944.html,", England",England,Striker,2/12/1984,Mansfield Town
soccer/www.footymania.com/5321.html,", United states",United states,Forward,8/1/1985,New England Revolution
soccer/www.footymania.com/3089.html,"Poughkeepsie, United states",United states,Goalkeeper,3/11/1971,Kansas City Wizards
soccer/www.footymania.com/901.html,"Marrakesh, Morocco",Morocco,Midfield Left,14/7/1977,AZ Alkmaar
soccer/www.footymania.com/982.html,", Belgium",Belgium,Attacking Midfielder Right,22/11/1976,
soccer/www.footymania.com/16.html,"Calinesti, Romania",Romania,Forward Center,8/1/1979,Fiorentina
soccer/www.footymania.com/899.html,", Canada",Canada,Defender,0/0/2000,FC Dallas
soccer/www.footymania.com/2827.html,"Vila Velha, Brazil",Brazil,"Back Left, Midfield Left",27/8/1977,Real Sociedad
soccer/www.footymania.com/618.html,"Ibarra, Ecuador",Ecuador,Striker,23/12/1974,Barcelona
soccer/www.footymania.com/3429.html,"Dublin, Ireland",Ireland,Midfield,10/1/1984,Preston North End
soccer/www.footymania.com/942.html,"Liverpool, England",England,Midfielder,31/5/1981,
soccer/www.footymania.com/4271.html,"Dublin, Ireland",Ireland,Midfield,20/2/1985,Hibernian
soccer/www.footymania.com/872.html,"Newcastle, England",England,Striker,13/8/1970,Newcastle United
soccer/www.footymania.com/605.html,"Leeds, England",England,Striker,20/10/1980,Newcastle United
soccer/www.footymania.com/627.html,", Senegal",Senegal,Defender,12/12/1981,Troyes
soccer/www.footymania.com/828.html,"Sierra Leone, England",England,Midfield,23/10/1984,Watford
soccer/www.footymania.com/1927.html,"Bescanò-Girona, Spain",Spain,Goalkeeper,3/3/1979,Barcelona
soccer/www.footymania.com/2312.html,", Italy",Italy,Midfield,19/8/1985,Parma
soccer/www.footymania.com/2318.html,"Biella, Italy",Italy,Forward,5/7/1982,AC Milan
soccer/www.footymania.com/2665.html,"Ciudad Real, Spain",Spain,"Midfield Center, Midfield Right",16/2/1978,Betis Sevilla
soccer/www.footymania.com/4227.html,"March, England",England,Goalkeeper,20/6/1964,Watford
soccer/www.footymania.com/4501.html,", Argentina",Argentina,Midfielder,3/3/1982,Bordeaux
soccer/www.footymania.com/397.html,", Russian federation",Russian federation,Forward,27/11/1982,FC Zenit St. Peterburg
soccer/www.footymania.com/2224.html,"Livorno, Italy",Italy,Defender Center,22/7/1977,Genoa
soccer/www.footymania.com/74.html,"Rome, Italy",Italy,Defender Center,19/3/1976,AC Milan
soccer/www.footymania.com/44.html,"Milan, Italy",Italy,Left back,27/7/1975,Everton FC
soccer/www.footymania.com/510.html,"Newham, England",England,Defender Center,21/9/1983,Chesterfield
soccer/www.footymania.com/2432.html,"Salzburg, Austria",Austria,Goalkeeper,4/6/1977,Siena
soccer/www.footymania.com/1852.html,"Glasgow, Scotland",Scotland,Midfield Center,30/9/1969,Rangers
soccer/www.footymania.com/318.html,"Glasgow, Scotland",Scotland,Manager,31/12/1941,Manchester United
soccer/www.footymania.com/2321.html,"Desio, Italy",Italy,Midfield,25/1/1984,Parma
soccer/www.footymania.com/247.html,"Glasgow, Scotland",Scotland,Midfielder,30/9/1969,Rangers
soccer/www.footymania.com/5663.html,", 0",0,,0/0/0000,AC Milan
soccer/www.footymania.com/2707.html,"Geneva, Switzerland",Spain,Forward,11/3/1982,Málaga
soccer/www.footymania.com/3026.html,"Birmingham, United states",United states,Defender Center,1/6/1970,Red Bull
soccer/www.footymania.com/5503.html,"Malaga, Spain",Spain,Defender Center,0/0/0000,Valencia
soccer/www.footymania.com/496.html,"Barneveld, Netherlands",Netherlands,Defensive Midfielder,2/11/1972,Feyenoord Rotterdam
soccer/www.footymania.com/889.html,", Senegal",Senegal,Midfield Defensive,0/0/2000,Crystal Palace
soccer/www.footymania.com/1847.html,"Edinburg, Scotland",Scotland,Goalkeeper,21/1/1982,Rangers
soccer/www.footymania.com/2822.html,"Salamanca, Spain",Spain,Goalkeeper,17/1/1983,Liverpool FC
soccer/www.footymania.com/2566.html,"Cordoba, Spain",Spain,Midfield,16/5/1978,Atletico Madrid
soccer/www.footymania.com/3423.html,", Russian federation",Russian federation,Midfield,20/11/1984,Twente Enschede
soccer/www.footymania.com/374.html,", Sweden",Sweden,"Left midfielder, Attacking midfielder",15/3/1974,Benfica
soccer/www.footymania.com/120.html,"Sâo Bernardo, Brazil",Portugal,Attacking midfielder,27/8/1977,Barcelona
soccer/www.footymania.com/131.html,", Netherlands",Netherlands,"Right back, Central midfielder, Right midfielder",11/7/1974,Blackburn Rovers
soccer/www.footymania.com/5846.html,", 0",0,,0/0/0000,Hertha Berlin
soccer/www.footymania.com/2208.html,"Galatina, Italy",Italy,Midfield,17/5/1986,Lecce
soccer/www.footymania.com/2181.html,"Viareggio, Italy",Italy,Defender,5/2/1986,Juventus
soccer/www.footymania.com/78.html,", Italy",Italy,Midfielder Center,19/5/1979,AC Milan
soccer/www.footymania.com/176.html,", Germany",Germany,Right back,26/3/1982,VfB Stuttgart
soccer/www.footymania.com/267.html,", Latvia",Latvia,Goalkeeper,17/7/1970,
soccer/www.footymania.com/275.html,"Ogre, Latvia",Latvia,Forward,2/5/1977,
soccer/www.footymania.com/851.html,"Wishaw, Scotland",Scotland,Forward,27/11/1984,Kilmarnock
soccer/www.footymania.com/1410.html,"Stockton on Tees, England",England,Defender Center,17/12/1984,Southampton FC
soccer/www.footymania.com/798.html,", Wales",England,Striker,0/0/2000,
soccer/www.footymania.com/996.html,"Crewe, England",England,Goalkeeper,11/1/1977,Derby County
soccer/www.footymania.com/3081.html,"Phoenix, United states",United states,Goalkeeper,9/8/1983,
soccer/www.footymania.com/254.html,", Latvia",Latvia,Goalkeeper,30/4/1980,
soccer/www.footymania.com/1224.html,"Kiev, Ukraine",Ukraine,Striker,29/9/1976,Chelsea FC
soccer/www.footymania.com/558.html,"Stockport, England",England,Defender Left,21/4/1978,Wrexham
soccer/www.footymania.com/139.html,"Arnhem, Netherlands",Netherlands,Attacking Midfielder/Forward Right,30/9/1979,Everton FC
soccer/www.footymania.com/323.html,"Blera, Italy",Italy,Goalkeeper,16/2/1970,Lazio
soccer/www.footymania.com/202.html,", Greece",Greece,Central midfielder,3/1/1976,Mallorca
soccer/www.footymania.com/208.html,", Greece",Greece,Forward,9/2/1980,Feyenoord Rotterdam
soccer/www.footymania.com/730.html,", Tunisia",Tunisia,Defender,0/0/2000,
soccer/www.footymania.com/728.html,", Tunisia",Tunisia,Defender,0/0/2000,
soccer/www.footymania.com/3141.html,"Californie, United states",United states,Striker,2/3/1974,Club Deportivo Chivas
soccer/www.footymania.com/4237.html,"Lambeth, England",England,Forward,13/7/1983,Watford
soccer/www.footymania.com/772.html,"Accra, Ghana",Ghana,Midfielder,6/8/1982,
soccer/www.footymania.com/451.html,", Czech republic",Czech republic,Goalkeeper,31/5/1975,
soccer/www.footymania.com/2731.html,"Soller, Spain",Spain,Forward,10/7/1982,Mallorca
soccer/www.footymania.com/322.html,", Italy",Italy,Attacking Midfield Left,12/7/1982,Sampdoria
soccer/www.footymania.com/924.html,", Spain",Spain,Midfielder/Attacking Midfielder Right,0/0/2000,Liverpool FC
soccer/www.footymania.com/2553.html,"Benidorm, Spain",Spain,Defender,13/9/1981,Atletico Madrid
soccer/www.footymania.com/217.html,", Greece",Greece,Goalkeeper,14/10/1971,Panathinaikos FC
soccer/www.footymania.com/1592.html,"Oulu, Finland",Finland,Goalkeeper,31/5/1972,Fulham FC
soccer/www.footymania.com/5864.html,", 0",0,,0/0/0000,AS Roma
soccer/www.footymania.com/654.html,"London, England",England,Defender,1/11/1981,
soccer/www.footymania.com/2941.html,"Kinshasa, Congo",Portugal,Forward,4/3/1981,FC Sevilla
soccer/www.footymania.com/1032.html,"Palermo, Italy",Italy,Defender Right/Center,25/4/1981,Modena
soccer/www.footymania.com/331.html,"Strasbourg, France",Portugal,Midfielder Center,25/9/1976,Benfica
soccer/www.footymania.com/118.html,", Portugal",Portugal,Central midfielder,25/9/1976,Benfica
soccer/www.footymania.com/173.html,", Germany",Germany,"Right back, Central defender",29/5/1979,Hertha Berlin
soccer/www.footymania.com/598.html,"Reykjavik, Iceland",Iceland,Goalkeeper,7/5/1975,
soccer/www.footymania.com/868.html,", England",England,"Defender, Midfield, Forward",0/0/1982,
soccer/www.footymania.com/976.html,", Cote d'ivoire",Cote d'ivoire,Striker,11/11/1983,FC Sevilla
soccer/www.footymania.com/339.html,", Latvia",Latvia,,7/8/1971,
soccer/www.footymania.com/61.html,", England",England,Left back,20/12/1980,Chelsea FC
soccer/www.footymania.com/522.html,", England",England,Defender/Midfielder/Forward Left,13/12/1984,Rochdale
soccer/www.footymania.com/4234.html,"Stevenage, England",England,Forward,9/7/1985,Aston Villa
soccer/www.footymania.com/1096.html,"Glasgow, Scotland",Scotland,Midfield Center,9/2/1978,Rangers
soccer/www.footymania.com/1998.html,"Leiden, Netherlands",Netherlands,Defender Center,27/2/1976,AZ Alkmaar
soccer/www.footymania.com/424.html,", Germany",Germany,Midfielder,1/8/1984,Bayern Munich
soccer/www.footymania.com/871.html,"Gravesend, England",England,Striker,10/3/1984,Colchester United
soccer/www.footymania.com/1030.html,"Kaapstad, South africa",South africa,Striker,12/11/1977,Blackburn Rovers
soccer/www.footymania.com/594.html,"Swindon, England",England,Back Left,30/11/1975,Charlton Athletic
soccer/www.footymania.com/69.html,", Italy",Italy,Forward,30/3/1976,Parma
soccer/www.footymania.com/186.html,", Germany",Germany,"Right midfielder, Left midfielder",17/11/1973,Bayer Leverkusen
soccer/www.footymania.com/999.html,"Brussel, Belgium",Belgium,Back Right,5/10/1971,
soccer/www.footymania.com/119.html,", Portugal",Portugal,Central defender,3/5/1976,Bordeaux
soccer/www.footymania.com/303.html,"San Juan de Luz, France",France,Defender/Defensive Midfielder,9/12/1969,Bayern Munich
soccer/www.footymania.com/825.html,"Trondheim, Norway",Norway,"Back Right, Defender Center",17/6/1972,Bastia
soccer/www.footymania.com/586.html,", Iceland",Iceland,Midfield,5/3/1988,Everton FC
soccer/www.footymania.com/696.html,"Philadelphia, United states",United states,Midfielder,27/5/1983,Reading
soccer/www.footymania.com/715.html,"Rabat, Morocco",Morocco,Forward,1/2/1982,Lens
soccer/www.footymania.com/329.html,"Maastrict, Netherlands",Netherlands,Defender/Midfielder Left,15/8/1976,Liverpool FC
soccer/www.footymania.com/2016.html,", England",England,Midfield,28/4/1987,
soccer/www.footymania.com/1082.html,"Lakewood, United states",United states,Goalkeeper,18/5/1971,Blackburn Rovers
soccer/www.footymania.com/1198.html,"Arlington Heights, United states",United states,,19/6/1972,Fulham FC
soccer/www.footymania.com/344.html,", Denmark",Denmark,Defender,14/6/1977,Club Brugge
soccer/www.footymania.com/5055.html,", Belgium",Belgium,Goalkeeper,0/0/0000,Heerenveen
soccer/www.footymania.com/2217.html,", Haiti",Haiti,Forward,1/1/1988,Sampdoria
soccer/www.footymania.com/724.html,", Portugal",Portugal,Defender Center/Left,0/0/2000,FC Porto
soccer/www.footymania.com/3416.html,", Portugal",Portugal,Defender,21/5/1978,Saint-Etienne
soccer/www.footymania.com/352.html,", Switzerland",Switzerland,Central midfielder,21/11/1977,Blackburn Rovers
soccer/www.footymania.com/495.html,"Castellammare di Stabia, Italy",Italy,Defender,21/3/1977,Siena
soccer/www.footymania.com/838.html,", Portugal",Portugal,Midfield,0/0/2000,Torquay United
soccer/www.footymania.com/837.html,"Lyon, France",France,Defender Center,10/6/1971,Birmingham City
soccer/www.footymania.com/570.html,"Liverpool, England",England,Midfielder Center,19/6/1976,Hull City
soccer/www.footymania.com/4419.html,"Reykjavik, Iceland",Iceland,"Back Right, Defender Center, Midfield Center",16/10/1975,Reading
soccer/www.footymania.com/1425.html,"Mons, Belgium",Belgium,Striker,1/6/1978,Standard de Liege
soccer/www.footymania.com/2585.html,"Oviedo, Spain",Spain,Defender,3/4/1977,Bolton Wanderers
soccer/www.footymania.com/549.html,"Stirling, Scotland",Scotland,Defender/Midfielder/Forward Left,25/6/1976,Preston North End
soccer/www.footymania.com/122.html,"Viana do Castelo, Portugal",Portugal,Central midfielder,2/5/1981,Benfica
soccer/www.footymania.com/45.html,"Viella, Spain",Spain,Defender Right,13/4/1978,Barcelona
soccer/www.footymania.com/3750.html,"Patna Village, Trinidad and tobago",Trinidad and tobago,"Back Right, Midfield Right",24/10/1978,Luton Town
soccer/www.footymania.com/1294.html,"Capiata, Paraguay",Paraguay,Defender Center,17/2/1971,
soccer/www.footymania.com/3674.html,"Palmira, Colombia",Colombia,Defender Center,20/6/1969,Club Deportivo Chivas
soccer/www.footymania.com/95.html,", Spain",Spain,Central defender,31/7/1979,Valencia
soccer/www.footymania.com/751.html,", Portugal",Portugal,Midfielder,0/0/2000,Sporting
soccer/www.footymania.com/13.html,"Kaduna, Nigeria",Nigeria,Defender/Defensive Midfielder Left,13/13/2013,Newcastle United
soccer/www.footymania.com/2038.html,"Bergamo, Italy",Italy,Defender,5/4/1979,Atalanta
soccer/www.footymania.com/4819.html,", Afghanistan",Afghanistan,Defender,0/0/0000,Celtic
soccer/www.footymania.com/1126.html,"Manchester, England",England,Defender Center,2/10/1985,
soccer/www.footymania.com/5318.html,", England",England,Defender,5/1/1987,Tottenham Hotspur
soccer/www.footymania.com/144.html,"Portland, United states",United states,Striker,10/3/1977,Real Salt Lake
soccer/www.footymania.com/5817.html,", 0",0,,0/0/0000,West Bromwich Albion
soccer/www.footymania.com/1951.html,", United states",United states,Defender,30/3/1983,
soccer/www.footymania.com/5274.html,", England",England,Striker,0/0/0000,Charlton Athletic
soccer/www.footymania.com/1873.html,"Middlesbrough, England",England,Defender Center,12/3/1985,Hibernian
soccer/www.footymania.com/49.html,", England",England,Goalkeeper,2/5/1981,Liverpool FC
soccer/www.footymania.com/3107.html,"St. Louis, United states",United states,Midfield,4/1/1976,Real Salt Lake
soccer/www.footymania.com/3137.html,"Baltimore, United states",United states,"Back Left, Back Right",1/4/1979,Red Bull
soccer/www.footymania.com/2279.html,"Abbiategrasso, Italy",Italy,Goalkeeper,8/7/1977,Atletico Madrid
soccer/www.footymania.com/1861.html,"Lifou, France",France,"Back Right, Defender Center, Midfield",3/12/1970,Bastia
soccer/www.footymania.com/822.html,", France",France,Back Right,0/0/2000,
soccer/www.footymania.com/2146.html,"Montecchio Maggiore, Italy",Italy,Back Right,11/2/1982,Fiorentina
soccer/www.footymania.com/76.html,", Italy",Italy,"Right back, Central defender",12/4/1973,AS Roma
soccer/www.footymania.com/162.html,", Denmark",Denmark,"Central midfielder, Right midfielder",28/2/1980,Schalke 04
soccer/www.footymania.com/2327.html,"Rome, Italy",Italy,Defender Center,22/11/1979,US Città di Palermo
soccer/www.footymania.com/81.html,"Bologna, Italy",Italy,Forward,12/7/1973,Fiorentina
soccer/www.footymania.com/376.html,"Malmo, Sweden",Sweden,Right midfielder,8/12/1979,Bolton Wanderers
soccer/www.footymania.com/426.html,", Germany",Germany,Left-back,1/2/1972,
soccer/www.footymania.com/189.html,", Sweden",Sweden,Left back,22/10/1978,Lille
soccer/www.footymania.com/362.html,", Switzerland",Switzerland,Defender Left,30/3/1978,Eintracht Frankfurt
soccer/www.footymania.com/4733.html,", France",France,Midfielder,9/3/1976,Sedan
soccer/www.footymania.com/4513.html,", France",France,Goalkeeper,22/3/1972,Toulouse
soccer/www.footymania.com/152.html,"Ballymena, Ireland",Ireland,Defender Right,25/2/1982,Southampton FC
soccer/www.footymania.com/493.html,"Swansea, Wales",Wales,Defender Center/Manager,10/6/1970,Fulham FC
soccer/www.footymania.com/3508.html,"Norwich, England",England,Defender,5/3/1987,Yeovil Town
soccer/www.footymania.com/885.html,", Northern ireland",Northern ireland,Midfield,0/0/2000,Grimsby Town
soccer/www.footymania.com/135.html,"Paramaribo, Suriname",Netherlands,Midfielder Right/Left/Center,1/4/1976,AC Milan
soccer/www.footymania.com/14.html,"Kinshasa, Congo",France,Defensive Midfielder,29/8/1978,Chelsea FC
soccer/www.footymania.com/2035.html,"Ravenna, Italy",Italy,Defender Center,30/7/1978,Atalanta
soccer/www.footymania.com/160.html,", Denmark",Denmark,"Central midfielder, Attacking midfielder",29/4/1977,Fulham FC
soccer/www.footymania.com/1598.html,"Bergen, Norway",Norway,Defender Center,22/2/1973,Southampton FC
soccer/www.footymania.com/3373.html,", Italy",Italy,Defender Center,0/0/0000,Port Vale
soccer/www.footymania.com/648.html,"Barking, England",England,Midfielder,19/5/1978,
soccer/www.footymania.com/3074.html,"Jamestown, United states",United states,"Midfield Defensive, Midfield Right",21/8/1982,DC United
soccer/www.footymania.com/912.html,"Paramaribo, Suriname",Netherlands,Center Midfielder/Forward,1/11/1973,Macclesfield Town
soccer/www.footymania.com/542.html,"Glasgow, Scotland",Scotland,Midfielder,25/10/1984,Dundee
soccer/www.footymania.com/5305.html,"Dover, United states",United states,Forward,25/7/1981,Colorado Rapids
soccer/www.footymania.com/998.html,"Timisoara, Romania",Romania,Back Right,15/12/1975,Atletico Madrid
soccer/www.footymania.com/937.html,"Coatbridge, England",England,Goalkeeper,28/5/1971,
soccer/www.footymania.com/1542.html,"Cardiff, Wales",Wales,Striker,13/7/1979,Liverpool FC
soccer/www.footymania.com/83.html,", Italy",Italy,Central midfielder,14/4/1977,Inter Milan
soccer/www.footymania.com/2611.html,"Lakota, Cote d'ivoire",Cote d'ivoire,Defender Center,22/7/1971,Creteil
soccer/www.footymania.com/416.html,", Croatia",Croatia,Forward,5/11/1974,Rangers
soccer/www.footymania.com/869.html,"Albano Laziale (Roma), Italy",Italy,Defender,1/11/1984,Parma
soccer/www.footymania.com/25.html,"Ballyboden, Ireland",Ireland,Attacking Midfielder/Striker Left,2/3/1979,Newcastle United
soccer/www.footymania.com/5327.html,"Montego Bay, Jamaica",Jamaica,Attacking Midfielder/Forward,14/12/1983,Red Bull
soccer/www.footymania.com/291.html,", Spain",Spain,,18/9/1979,Athletic Bilbao
soccer/www.footymania.com/223.html,", Bulgaria",Bulgaria,"Right back, Right midfielder",15/1/1970,PFC Levski Sofia
soccer/www.footymania.com/650.html,"Prestatyn, Wales",Wales,Goalkeeper,27/8/1973,Burnley
soccer/www.footymania.com/3086.html,"Garland, United states",United states,Defender,20/4/1983,
soccer/www.footymania.com/3630.html,", 0",0,,0/0/0000,Northampton Town
soccer/www.footymania.com/631.html,"Coventry, England",England,Forward,23/10/1982,Barnsley
soccer/www.footymania.com/1153.html,"Chester, England",England,"Midfield Right, Midfield Center",18/3/1977,Fulham FC
soccer/www.footymania.com/961.html,", Italy",Italy,Defender Center,10/7/1974,Brescia
soccer/www.footymania.com/2444.html,"Rome, Italy",Italy,Defender Center,17/12/1978,Siena
soccer/www.footymania.com/2147.html,"Foggia, Italy",Italy,Defender,18/9/1971,Fiorentina
soccer/www.footymania.com/1970.html,"Oost-Souburg, Netherlands",Netherlands,Manager (Sweeper),1/8/1961,Ajax Amsterdam
soccer/www.footymania.com/3459.html,"Dordrecht, Netherlands",Netherlands,Midfield,21/6/1982,FC Groningen
soccer/www.footymania.com/852.html,", England",England,Striker,0/0/2000,
soccer/www.footymania.com/5014.html,", England",England,Midfield,0/0/0000,Bolton Wanderers
soccer/www.footymania.com/6047.html,", 0",0,,0/0/0000,Wrexham
soccer/www.footymania.com/634.html,", United states",United states,Midfielder,17/6/1987,Columbus Crew
soccer/www.footymania.com/402.html,"Zagreb, Croatia",Croatia,Defender/Midfielder Center/Right,12/11/1975,AC Milan
soccer/www.footymania.com/57.html,", England",England,Forward,13/6/1980,Manchester City
soccer/www.footymania.com/569.html,"Stepney, England",England,Defender Center,14/2/1976,West Bromwich Albion
soccer/www.footymania.com/84.html,", Spain",Spain,Central midfielder,1/9/1977,Valencia
soccer/www.footymania.com/4090.html,"Santa Ana, United states",United states,Forward,19/4/1988,Club Deportivo Chivas
soccer/www.footymania.com/1879.html,"Irvine, Scotland",Scotland,Striker,26/4/1977,
soccer/www.footymania.com/560.html,"Peterborough, England",England,Forward,27/8/1984,Blackburn Rovers
soccer/www.footymania.com/1788.html,"Hartlepool, England",England,"Back Left, Defender Center",1/3/1984,Hibernian
soccer/www.footymania.com/449.html,", Czech republic",Czech republic,Defender Center,5/7/1980,Paris Saint Germain
soccer/www.footymania.com/557.html,"Chorley, England",England,Defender Center,16/10/1973,Burnley
soccer/www.footymania.com/4831.html,", Ireland",Ireland,Defender,8/5/1982,St. Mirren
soccer/www.footymania.com/2888.html,"Barcelona, Spain",Spain,Midfield,12/2/1974,Real Zaragoza
soccer/www.footymania.com/1100.html,"Birkenhead, England",England,Midfield Right,12/9/1977,Bolton Wanderers
soccer/www.footymania.com/2936.html,"Palma de Mallorca, Spain",Spain,Defender,26/1/0000,Levante
soccer/www.footymania.com/1380.html,"Falkirk, Scotland",Scotland,Central Defender,10/5/1970,Everton FC
soccer/www.footymania.com/1118.html,"Blackburn, England",England,Midfield Center,27/12/1979,Blackburn Rovers
soccer/www.footymania.com/531.html,"Perugia, Italy",Italy,Midfielder Center,8/5/1975,Perugia
soccer/www.footymania.com/2441.html,"Luserna San Giovanni, Italy",Italy,"Back Left, Back Right",5/3/1973,Siena
soccer/www.footymania.com/1984.html,"Nederland, United states",United states,Forward,22/6/1980,Kansas City Wizards
soccer/www.footymania.com/1629.html,"Bradford, England",England,Defender Center,9/7/1974,Tottenham Hotspur
soccer/www.footymania.com/1142.html,"Salford, England",England,Goalkeeper,10/10/1970,Portsmouth
soccer/www.footymania.com/625.html,"Huddersfield, England",England,Forward,22/4/1980,Gillingham
soccer/www.footymania.com/671.html,"Milan, Italy",Italy,Midfielder Center,23/8/1971,Barcelona
soccer/www.footymania.com/3741.html,"Morvant, Trinidad and tobago",Trinidad and tobago,Defender Center,1/8/1974,Wrexham
soccer/www.footymania.com/163.html,"Copenhagen, Denmark",Denmark,"Right midfielder, Forward",22/7/1978,Ajax Amsterdam
soccer/www.footymania.com/6.html,"Amsterdam, Netherlands",Netherlands,Forward/Striker,10/5/1969,
soccer/www.footymania.com/841.html,"Reading, England",England,Forward,25/9/1976,Sheffield Wednesday
soccer/www.footymania.com/649.html,", Ghana",England,Forward,1/5/1981,Nice
soccer/www.footymania.com/773.html,", Ghana",Ghana,Forward,10/5/1983,
soccer/www.footymania.com/670.html,"Treviglio, Italy",Italy,Defender Right/Center,7/2/1985,
soccer/www.footymania.com/640.html,"Sarcelles, France",France,Defender Left,2/5/1978,Espanyol
soccer/www.footymania.com/689.html,"Abidjan, France",France,Forward,11/3/1978,Chelsea FC
soccer/www.footymania.com/950.html,"Montevideo, Uruguay",Uruguay,Striker,19/5/1979,Villarreal
soccer/www.footymania.com/5655.html,", 0",0,,0/0/0000,Villarreal
soccer/www.footymania.com/550.html,", Italy",Italy,,0/0/2000,
soccer/www.footymania.com/4.html,"Villa Fiorito, Argentina",Argentina,Forward/Striker,30/10/1960,
soccer/www.footymania.com/808.html,"Ribeirão Preto, Brazil",Brazil,"Midfield Attack, Forward",28/2/1985,FC Porto
soccer/www.footymania.com/3371.html,", Belgium",Belgium,Striker,18/5/1985,Roda JC Kerkrade
