url,STRING : publisher,STRING : genre,STRING : esrb
videogame/www.gamequestdirect.com/013388270095.html,Capcom,Sony PSP > Puzzle,Rated E
videogame/www.gamequestdirect.com/811930103149.html,Mumbo Jumbo,Sony PSP > Puzzle,Rated E
videogame/www.gamequestdirect.com/083717241089.html,Konami,Nintendo DS > Family,Rated E
videogame/www.gamequestdirect.com/742725275355.html,Atari,Nintendo DS > Fighting,
videogame/www.gamequestdirect.com/742725264182.html,Atari,Nintendo DS > Puzzle,Rated E
videogame/www.gamequestdirect.com/625904537911.html,Dreamcatcher Interactive,Nintendo DS > Simulation,Rated T
videogame/www.gamequestdirect.com/695771600124.html,Tommo,Sony PSP > Puzzle,Rated E
videogame/www.gamequestdirect.com/013388260539.html,Capcom,Playstation 2 > Platform,Rated E
videogame/www.gamequestdirect.com/093992058401.html,Ascii Software,Classic Platform > Sega Saturn,
videogame/www.gamequestdirect.com/02635992342.html,DVD,DVD Movies > Box Set,
videogame/www.gamequestdirect.com/014633152524.html,EA Sports,GameCube > Sports,Rated E
videogame/www.gamequestdirect.com/032264190410.html,Jaleco,GameCube > Action,
videogame/www.gamequestdirect.com/047875754454.html,Activision,Nintendo WII > Racing,Rated E
videogame/www.gamequestdirect.com/00888814002.html,Ubisoft,Game Boy Advance > Platform,
videogame/www.gamequestdirect.com/853333001318.html,Crave,Playstation 2 > Simulation,Rated E
videogame/www.gamequestdirect.com/00888813012.html,Ubisoft,Nintendo 64 > Action Adventure,Rated E
videogame/www.gamequestdirect.com/70805657004.html,Nintendo,GameCube > Accessory,
videogame/www.gamequestdirect.com/00888832031.html,Ubisoft,Playstation 2 > Action,Rated E
videogame/www.gamequestdirect.com/023272406639.html,Crave,Nintendo WII > Simulation,
videogame/www.gamequestdirect.com/78513832080.html,THQ,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/08371740009.html,Konami,GameCube > Family,
videogame/www.gamequestdirect.com/711719864622.html,Sony Computer Entertainment,Sony PSP > Shooters,
videogame/www.gamequestdirect.com/08371720053.html,Konami,Playstation 2 > Action,Rated M
videogame/www.gamequestdirect.com/722674100618.html,Namco Bandai Games,Playstation 2 > Adventure,
videogame/www.gamequestdirect.com/788687400084.html,Eidos,Sony PSP > Adventure,Rated T
videogame/www.gamequestdirect.com/00888814025.html,Ubisoft,Game Boy Advance > Platform,Rated E
videogame/www.gamequestdirect.com/04555718013.html,Bandai,Playstation 2 > Role Playing,Rated T
videogame/www.gamequestdirect.com/00888814013.html,Ubisoft,Game Boy Advance > Puzzle,
videogame/www.gamequestdirect.com/045496960926.html,Nintendo,GameCube > Racing,
videogame/www.gamequestdirect.com/083717250319.html,Konami,Playstation 2 > Music Dancing,
videogame/www.gamequestdirect.com/01338821064.html,Capcom,Playstation > Fighting,Rated T
videogame/www.gamequestdirect.com/07429940692.html,Infogrames,Dreamcast > Platform,
videogame/www.gamequestdirect.com/008888152828.html,Ubisoft,GameCube > Action,Rated T
videogame/www.gamequestdirect.com/785138380261.html,THQ,GameCube > Adventure,
videogame/www.gamequestdirect.com/752919550496.html,THQ,Xbox 360 > Wrestling,Rated T
videogame/www.gamequestdirect.com/014633147582.html,EA Sports,Playstation 2 > Sports,Rated E
videogame/www.gamequestdirect.com/71171942882.html,Sony Computer Entertainment,Playstation > Family,Rated E
videogame/www.gamequestdirect.com/008888523956.html,Ubisoft,Xbox 360 > Shooters,Rated M
videogame/www.gamequestdirect.com/08371717035.html,Konami,Playstation > Fighting,Rated T
videogame/www.gamequestdirect.com/66333801351.html,Lego,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/74272521347.html,Infogrames,Playstation > Action Adventure,
videogame/www.gamequestdirect.com/040198001434.html,Koei,Playstation 2 > Action,
videogame/www.gamequestdirect.com/00888815007.html,Ubisoft,GameCube > Family,
videogame/www.gamequestdirect.com/014633154627.html,Electronic Arts,Playstation 3 > Sports,Rated E
videogame/www.gamequestdirect.com/08371718075.html,Konami,Nintendo 64 > Sports,
videogame/www.gamequestdirect.com/096427012771.html,Majesco,Game Boy Advance > Puzzle,Rated E
videogame/www.gamequestdirect.com/014633154276.html,EA Sports,Playstation 3 > Sports,
videogame/www.gamequestdirect.com/04787580171.html,Activision,Playstation > Sports,
videogame/www.gamequestdirect.com/023272332396.html,Lucas Arts,Sony PSP > Adventure,Rated T
videogame/www.gamequestdirect.com/785138361079.html,THQ,Nintendo DS > Family,Rated E10
videogame/www.gamequestdirect.com/02029514021.html,Atari,Playstation > Sports,Rated E
videogame/www.gamequestdirect.com/78868750002.html,Eidos,Playstation 2 > Adventure,
videogame/www.gamequestdirect.com/031719191550.html,Midway,GameCube > Fighting,
videogame/www.gamequestdirect.com/02062671704.html,Universal,Game Boy Advance > Family,
videogame/www.gamequestdirect.com/08371750001.html,Konami,Game Boy Advance > Platform,
videogame/www.gamequestdirect.com/010086630350.html,Sega,Playstation 2 > Action,Rated M
videogame/www.gamequestdirect.com/72267402115.html,Namco,Playstation > Role Playing,
videogame/www.gamequestdirect.com/722674100168.html,Namco,Playstation 2 > Shooters,Rated T
videogame/www.gamequestdirect.com/02062671751.html,Universal Interactive,GameCube > Action,Rated E
videogame/www.gamequestdirect.com/014633155013.html,Electronic Arts,Sony PSP > Sports,
videogame/www.gamequestdirect.com/682384320105.html,BAM! Entertainment,Game Boy Advance > Action Adventure,Rated T
videogame/www.gamequestdirect.com/79056150215.html,Interplay,Playstation > Gambling,
videogame/www.gamequestdirect.com/71042523036.html,Rockstar Games,Playstation > Shooters,
videogame/www.gamequestdirect.com/045496734060.html,Nintendo,Game Boy Advance > Platform,
videogame/www.gamequestdirect.com/00888812010.html,Atari,Game Boy Color > Family,Rated E
videogame/www.gamequestdirect.com/74164800702.html,Kemco,Microsoft Xbox > Adventure,
videogame/www.gamequestdirect.com/04549673236.html,Nintendo,Game Boy Advance > Action Adventure,
videogame/www.gamequestdirect.com/014633156003.html,Electronic Arts,Xbox 360 > Sports,Rated E
videogame/www.gamequestdirect.com/802068101497.html,Destination Software,Playstation 2 > Sports,
videogame/www.gamequestdirect.com/00888851001.html,Ubisoft,Microsoft Xbox > Platform,Rated E
videogame/www.gamequestdirect.com/891563001067.html,Graffiti Entertainment,Game Boy Advance > Action Adventure,Rated E
videogame/www.gamequestdirect.com/045496961480.html,Nintendo,GameCube > Role Playing,
videogame/www.gamequestdirect.com/71171944482.html,Sony Computer Entertainment,Playstation > Music Dancing,
videogame/www.gamequestdirect.com/02148121181.html,Acclaim,Playstation > Wrestling,
videogame/www.gamequestdirect.com/65955674524.html,Microsoft,Microsoft Xbox > Adventure,
videogame/www.gamequestdirect.com/00888812019.html,Ubisoft,Game Boy Color > Action Adventure,Rated E
videogame/www.gamequestdirect.com/65000879924.html,Crave,Dreamcast > Puzzle,Rated E
videogame/www.gamequestdirect.com/014633151046.html,Electronic Arts,Microsoft Xbox > Action,
videogame/www.gamequestdirect.com/788687300049.html,Eidos,Playstation > Family,Rated E
videogame/www.gamequestdirect.com/66120441001.html,New Kid Co.,Playstation > Family,
videogame/www.gamequestdirect.com/018946010502.html,Tecmo,Playstation 3 > Action Adventure,
videogame/www.gamequestdirect.com/00888814038.html,Ubisoft,Game Boy Advance > Role Playing,Rated E
videogame/www.gamequestdirect.com/021481642022.html,Acclaim,Nintendo 64 > Sports,
videogame/www.gamequestdirect.com/80552901220.html,Microsoft,Microsoft Xbox > Accessory,
videogame/www.gamequestdirect.com/045557188047.html,Bandai,Sony PSP > Shooters,
videogame/www.gamequestdirect.com/65000869911.html,Crave,Game Boy Color > Action Adventure,Rated E
videogame/www.gamequestdirect.com/014633151374.html,Electronic Arts,Xbox 360 > Sports,Rated E
videogame/www.gamequestdirect.com/008888173557.html,Ubisoft,Nintendo WII > Family,
videogame/www.gamequestdirect.com/00888814023.html,Ubisoft,Game Boy Advance > Sports,Rated E
videogame/www.gamequestdirect.com/02148151202.html,Acclaim,Game Boy Color > Sports,Rated E
videogame/www.gamequestdirect.com/047875830936.html,Crave,Playstation 3 > Sports,
videogame/www.gamequestdirect.com/01008651019.html,Sega,Dreamcast > Racing,Rated E
videogame/www.gamequestdirect.com/883929020706.html,WHV Games,Playstation 3 > Family,Rated E10
videogame/www.gamequestdirect.com/047875810655.html,Activision,Nintendo DS > Family,
videogame/www.gamequestdirect.com/008888150121.html,Ubisoft,GameCube > Role Playing,Rated E
videogame/www.gamequestdirect.com/07693099593.html,Mattel,Playstation > Family,Rated E
videogame/www.gamequestdirect.com/083717200529.html,Konami,Playstation 2 > Adventure,Rated M
videogame/www.gamequestdirect.com/020626718615.html,Vivendi Universal,GameCube > Shooters,Rated T
videogame/www.gamequestdirect.com/04549672024.html,Nintendo,Toys and Fun > View All,
videogame/www.gamequestdirect.com/662248908014.html,Square Enix USA,Nintendo DS > Adventure,Rated T
videogame/www.gamequestdirect.com/712725002763.html,Buena Vista Games,Nintendo DS > Adventure,Rated E
videogame/www.gamequestdirect.com/031719191925.html,Microsoft,Game Boy Advance > Action Adventure,
videogame/www.gamequestdirect.com/04787555200.html,Activision,Playstation > Racing,
videogame/www.gamequestdirect.com/04787580409.html,Activision,GameCube > Action,
videogame/www.gamequestdirect.com/00888814005.html,Ubisoft,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/013388290109.html,Capcom,Microsoft Xbox > Simulation,Rated T
videogame/www.gamequestdirect.com/01338821033.html,Capcom,Playstation > Fighting,Rated T
videogame/www.gamequestdirect.com/02062671244.html,Interplay,Playstation 2 > Action,Rated T
videogame/www.gamequestdirect.com/711719804505.html,Sony Computer Entertainment,Playstation 3 > Accessory,
videogame/www.gamequestdirect.com/01463314329.html,EA Sports,Playstation 2 > Sports,Rated E
videogame/www.gamequestdirect.com/612561700048.html,South Peak Interactive,Xbox 360 > Role Playing,Rated M
videogame/www.gamequestdirect.com/00888814015.html,Ubisoft,Game Boy Advance > Racing,Rated E
videogame/www.gamequestdirect.com/785138361826.html,THQ,Nintendo DS > Wrestling,Rated T
videogame/www.gamequestdirect.com/662248904153.html,Square Enix,Playstation 2 > Role Playing,
videogame/www.gamequestdirect.com/047875752559.html,Activision,Xbox 360 > Hunting Fishing,Rated T
videogame/www.gamequestdirect.com/03171919848.html,Midway,Nintendo 64 > Compilation,Rated E
videogame/www.gamequestdirect.com/02148152297.html,Acclaim,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/031719191826.html,Midway,Nintendo WII > Family,Rated E10
videogame/www.gamequestdirect.com/785138380292.html,THQ,GameCube > Racing,
videogame/www.gamequestdirect.com/712725003371.html,Buena Vista Games,Nintendo WII > Family,Rated E10
videogame/www.gamequestdirect.com/72267402087.html,Namco,Game Boy Color > Action Adventure,
videogame/www.gamequestdirect.com/03171919809.html,Midway,Game Boy Color > Sports,Rated E
videogame/www.gamequestdirect.com/04549673089.html,South Peak Interactive,Game Boy Color > Family,Rated E
videogame/www.gamequestdirect.com/014633149876.html,Electronic Arts,Playstation 2 > Family,Rated E
videogame/www.gamequestdirect.com/014633159172.html,EA Sports,Playstation 2 > Music Dancing,Rated T
videogame/www.gamequestdirect.com/045496734886.html,Nintendo,Game Boy Advance > Puzzle,Rated E
videogame/www.gamequestdirect.com/047875830950.html,Ubisoft,Xbox 360 > Sports,
videogame/www.gamequestdirect.com/01463314429.html,Electronic Arts,Playstation 2 > Fighting,Rated T
videogame/www.gamequestdirect.com/65955667888.html,Microsoft,Microsoft Xbox > Accessory,
videogame/www.gamequestdirect.com/031719191581.html,Midway,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/742725238794.html,Atari,Game Boy Advance > Racing,Rated E
videogame/www.gamequestdirect.com/00888813007.html,Ubisoft,Nintendo 64 > Platform,Rated E
videogame/www.gamequestdirect.com/008888512141.html,Ubisoft,Microsoft Xbox > Shooters,Rated M
videogame/www.gamequestdirect.com/662248904092.html,Square Enix,Playstation 2 > Role Playing,
videogame/www.gamequestdirect.com/010086670011.html,Sega,Nintendo DS > Platform,Rated E
videogame/www.gamequestdirect.com/710425292590.html,Rockstar Games,Microsoft Xbox > Adventure,
videogame/www.gamequestdirect.com/710425299636.html,2K Games,Xbox 360 > Action Adventure,Rated M
videogame/www.gamequestdirect.com/04549696004.html,Nintendo,GameCube > Sports,
videogame/www.gamequestdirect.com/047875754355.html,Activision,Playstation 3 > Action Adventure,Rated T
videogame/www.gamequestdirect.com/853466001087.html,XSeed JKS,Sony PSP > Strategy,Rated E10
videogame/www.gamequestdirect.com/013388350018.html,Capcom,Nintendo WII > Action Adventure,
videogame/www.gamequestdirect.com/010086640311.html,Sega,Microsoft Xbox > Fighting,Rated T
videogame/www.gamequestdirect.com/045496734992.html,Nintendo,Nintendo DS > Platform,Rated E
videogame/www.gamequestdirect.com/722674100601.html,Namco Bandai Games,Playstation 2 > Adventure,Rated T
videogame/www.gamequestdirect.com/014633158724.html,EA Sports,GameCube > Sports,Rated E
videogame/www.gamequestdirect.com/02062671647.html,Vivendi Universal,Playstation 2 > Platform,Rated E
videogame/www.gamequestdirect.com/00888814020.html,Ubisoft,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/047875809970.html,Activision,Playstation 2 > Action,Rated M
videogame/www.gamequestdirect.com/827912011005.html,E-Real Games.,Universal > Accessory,
videogame/www.gamequestdirect.com/08371718009.html,Midway,Nintendo 64 > Role Playing,Rated T
videogame/www.gamequestdirect.com/01338828012.html,Capcom,Game Boy Advance > Puzzle,Rated E
videogame/www.gamequestdirect.com/00888815015.html,Ubisoft,GameCube > Fighting,Rated T
videogame/www.gamequestdirect.com/74272522405.html,Atari,Playstation > Family,
videogame/www.gamequestdirect.com/00888814024.html,Ubisoft,Game Boy Advance > Strategy,
videogame/www.gamequestdirect.com/013388270064.html,Capcom,Sony PSP > Family,
videogame/www.gamequestdirect.com/03226480015.html,Nintendo,Game Boy Color > Sports,Rated E
videogame/www.gamequestdirect.com/03171926871.html,Midway,Playstation 2 > Role Playing,
videogame/www.gamequestdirect.com/708056510565.html,Pelican,Game Boy Color > Accessory,
videogame/www.gamequestdirect.com/804926056277.html,Intec,Nintendo WII > Accessory,
videogame/www.gamequestdirect.com/722674700221.html,Namco Bandai Games,Nintendo DS > Role Playing,Rated E
videogame/www.gamequestdirect.com/013388270149.html,Capcom,Sony PSP > Action,Rated T
videogame/www.gamequestdirect.com/71171971992.html,Sony Computer Entertainment,Playstation 2 > Platform,Rated T
videogame/www.gamequestdirect.com/01338821011.html,Capcom,Playstation > Action Adventure,Rated E
videogame/www.gamequestdirect.com/014633155815.html,Electronic Arts,Xbox 360 > Sports,Rated E
videogame/www.gamequestdirect.com/75291947052.html,THQ,Playstation > Family,
videogame/www.gamequestdirect.com/014633151220.html,Electronic Arts,Sony PSP > Racing,Rated E
videogame/www.gamequestdirect.com/03171926892.html,Midway,Playstation 2 > Action,Rated T
videogame/www.gamequestdirect.com/096427013259.html,Majesco,GameCube > Adventure,
videogame/www.gamequestdirect.com/045496890056.html,Nintendo,Nintendo WII > Accessory,
videogame/www.gamequestdirect.com/083717250333.html,Konami,Microsoft Xbox > Music Dancing,Rated E
videogame/www.gamequestdirect.com/047875753334.html,Activision,Nintendo WII > Hunting Fishing,Rated E
videogame/www.gamequestdirect.com/031719269846.html,Midway,Sony PSP > Racing,
videogame/www.gamequestdirect.com/014633149746.html,Electronic Arts,Playstation 2 > Action,
videogame/www.gamequestdirect.com/013388200047.html,Capcom,GameCube > Action,Rated M
videogame/www.gamequestdirect.com/047875809932.html,Activision,Nintendo DS > Family,
videogame/www.gamequestdirect.com/014633158717.html,Electronic Arts,Xbox 360 > Music Dancing,Rated T
videogame/www.gamequestdirect.com/047875807211.html,Activision,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/01463314470.html,Electronic Arts,GameCube > Action,Rated T
videogame/www.gamequestdirect.com/023272328351.html,Lucas Arts,Playstation 2 > Shooters,Rated T
videogame/www.gamequestdirect.com/014633154085.html,Electronic Arts,Playstation 2 > Sports,Rated E
videogame/www.gamequestdirect.com/04019800113.html,Koei,Playstation 2 > Music Dancing,
videogame/www.gamequestdirect.com/00888814030.html,Ubisoft,Game Boy Advance > Action Adventure,Rated E
videogame/www.gamequestdirect.com/711719864929.html,Sony Computer Entertainment,Sony PSP > Shooters,Rated T
videogame/www.gamequestdirect.com/785138321318.html,THQ,Game Boy Advance > Family,Rated E
videogame/www.gamequestdirect.com/09642701281.html,Majesco,Game Boy Advance > Sports,Rated E
videogame/www.gamequestdirect.com/045496733421.html,Nintendo,Game Boy Advance > Role Playing,
videogame/www.gamequestdirect.com/04787580075.html,Activision,Game Boy Color > Action Adventure,Rated E
videogame/www.gamequestdirect.com/828862500069.html,SNK,Microsoft Xbox > Fighting,
videogame/www.gamequestdirect.com/008888343813.html,Ubisoft,Playstation 3 > Action Adventure,Rated T
videogame/www.gamequestdirect.com/722242519545.html,Atari,Game Boy Color > Fighting,Rated E
videogame/www.gamequestdirect.com/896992000155.html,South Peak Interactive,Playstation 2 > Family,Rated E10
videogame/www.gamequestdirect.com/04787580001.html,Activision,Playstation > Action Adventure,
videogame/www.gamequestdirect.com/00888813001.html,New Kid Co.,Nintendo 64 > Action Adventure,Rated E
videogame/www.gamequestdirect.com/722674100595.html,Namco,Playstation 2 > Adventure,
videogame/www.gamequestdirect.com/013388260348.html,Capcom,Playstation 2 > Platform,Rated E
videogame/www.gamequestdirect.com/031719301065.html,Midway,Xbox 360 > Shooters,
videogame/www.gamequestdirect.com/083717400592.html,Konami,Nintendo WII > Hunting Fishing,Rated E
videogame/www.gamequestdirect.com/01008650000.html,Sega,Dreamcast > Hardware,
videogame/www.gamequestdirect.com/02327231735.html,Lucas Arts,Playstation > Action Adventure,
videogame/www.gamequestdirect.com/013388260645.html,Capcom,Playstation 2 > Fighting,Rated T
videogame/www.gamequestdirect.com/014633151602.html,Electronic Arts,Xbox 360 > Action Adventure,Rated T
videogame/www.gamequestdirect.com/010086680188.html,Sega,Xbox 360 > Racing,
videogame/www.gamequestdirect.com/03171919814.html,Midway,Game Boy Color > Compilation,Rated E
videogame/www.gamequestdirect.com/894312000151.html,Red Octane,Playstation 2 > Music Dancing,
videogame/www.gamequestdirect.com/023272406394.html,D3 Publisher of America,Sony PSP > Simulation,
videogame/www.gamequestdirect.com/04549696126.html,Nintendo,GameCube > Family,
videogame/www.gamequestdirect.com/008888343219.html,Ubisoft,Playstation 3 > Shooters,Rated M
